epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.982588,0.938784,9.982588,0.269321,2.286498,2.286498,3.67497,2.863896
2,9.981271,0.93876,9.981271,0.612638,2.273441,2.273441,3.534268,2.863382
3,9.807898,0.938946,9.807898,0.34083,2.268335,2.268335,3.510789,2.867358
4,9.493839,0.938336,9.493839,0.294428,2.2519,2.2519,3.476991,2.854711
5,9.441478,0.938719,9.441478,0.50177,2.234129,2.234129,3.461559,2.86426
6,9.602848,0.939006,9.602848,0.295927,2.252026,2.252026,3.445558,2.871141
7,9.598178,0.93998,9.598178,0.339875,2.257103,2.257103,3.431993,2.892834
8,9.465483,0.941199,9.465483,0.322847,2.258988,2.258988,3.418692,2.920196
9,9.461295,0.941992,9.461295,0.239069,2.246728,2.246728,3.405864,2.937849
10,9.477701,0.942834,9.477701,0.243018,2.237763,2.237763,3.392405,2.957139
