accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.89112,1,15.076295,1.0,0.000689,0.000689,0.891786,0.888928,3.232006,3.232006,1.0,0.082189,0.082189,0.001129,0.000516,0.010404,0.010404,1.0,0.283333,19.430519,0.0
0.01375,0.986467,2,12.924222,1.0,0.014648,0.014648,0.986613,0.986038,4.740055,4.740055,1.0,0.107791,0.107791,0.031904,0.007826,0.012384,0.012384,1.0,0.283333,14.447015,0.0
0.015417,0.999173,3,11.568939,1.0,0.019173,0.019173,0.999183,0.99914,9.744372,9.744372,1.0,0.147374,0.147374,0.047226,0.008082,0.014576,0.014576,1.0,0.283333,12.483224,0.0
0.032083,0.999975,4,10.529409,1.0,0.062851,0.062851,0.999976,0.999974,15.254264,15.254264,1.0,0.167381,0.167381,0.203412,0.00728,0.015717,0.015717,1.0,0.283333,10.969889,0.0
0.042083,0.999991,5,10.333614,1.0,0.0743,0.0743,0.999992,0.999991,6.458043,6.458043,1.0,0.129474,0.129474,0.242446,0.007824,0.013969,0.013969,1.0,0.283333,10.252993,0.0
0.045833,0.999946,6,9.948291,1.0,0.074121,0.074121,0.999949,0.999944,4.684356,4.684356,1.0,0.105438,0.105438,0.238881,0.008984,0.012629,0.012629,1.0,0.283333,9.807007,0.0
0.04875,0.999924,7,9.766439,1.0,0.078512,0.078512,0.999928,0.999921,4.957542,4.957542,1.0,0.113617,0.113617,0.252741,0.009631,0.014016,0.014016,1.0,0.283333,9.477391,0.0
0.052083,0.999965,8,9.595934,1.0,0.084252,0.084252,0.999967,0.999963,6.400631,6.400631,1.0,0.137705,0.137705,0.270759,0.010516,0.01634,0.01634,1.0,0.283333,9.195957,0.0
0.051667,0.999965,9,9.490795,1.0,0.085827,0.085827,0.999967,0.999964,6.847443,6.847443,1.0,0.146579,0.146579,0.275486,0.010846,0.017091,0.017091,1.0,0.283333,8.96478,0.0
0.0525,0.99994,10,9.394658,1.0,0.088128,0.088128,0.999943,0.999937,7.267134,7.267134,1.0,0.151445,0.151445,0.281745,0.011581,0.017316,0.017316,1.0,0.283333,8.786199,0.0
