accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.55625,0.573275,1,0.744742,0.848811,0.573275,0.771939,2.651344
0.58275,0.615612,2,0.710964,0.859089,0.615612,0.703343,2.920963
0.5905,0.639938,3,0.680608,0.874863,0.639938,0.671052,3.587457
0.60975,0.662127,4,0.663092,0.882694,0.662127,0.641144,4.305201
0.623,0.679652,5,0.645255,0.887804,0.679652,0.611153,5.627435
0.6455,0.70748,6,0.61983,0.889206,0.70748,0.588804,7.250391
0.6615,0.727602,7,0.60256,0.889077,0.727602,0.565811,7.789247
0.664,0.738324,8,0.593877,0.889481,0.738324,0.538787,9.483415
0.6745,0.754928,9,0.582172,0.889366,0.754928,0.516522,9.929694
0.68125,0.767556,10,0.571849,0.889443,0.767556,0.496813,10.673711
