accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.557598,0.581077,1,0.716358,1.0,0.581077,0.738598,0.0
0.612527,0.651202,2,0.660789,1.0,0.651202,0.66485,0.0
0.64228,0.693132,3,0.635977,1.0,0.693132,0.624256,0.0
0.659597,0.722571,4,0.618144,1.0,0.722571,0.593864,0.0
0.683247,0.747346,5,0.601355,1.0,0.747346,0.564322,0.0
0.687901,0.757012,6,0.593478,1.0,0.757012,0.539096,0.0
0.705142,0.778549,7,0.579711,1.0,0.778549,0.50799,0.0
0.716585,0.783427,8,0.59377,1.0,0.783427,0.476077,0.0
0.736573,0.808335,9,0.554861,1.0,0.808335,0.448153,0.0
0.725053,0.80043,10,0.593569,1.0,0.80043,0.42634,0.0
