accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.097428,1.0,13.097428,1.086582,0.026774,0.026774,0.052961,0.038104,0.027272,0.017872,0.015444,12.999964,0.0
0.000569,2,13.095856,1.0,13.095856,0.97895,0.026046,0.026046,0.052961,0.03733,0.026552,0.016984,0.014762,12.607713,0.0
0.001139,3,13.314154,1.0,13.314154,0.689159,0.02859,0.02859,0.052961,0.040229,0.028916,0.022763,0.016952,12.182888,0.0
0.001139,4,13.447577,1.0,13.447577,0.751054,0.026048,0.026048,0.052961,0.037093,0.026522,0.017575,0.015004,11.772011,0.0
0.001139,5,14.066505,1.0,14.066505,0.677897,0.023562,0.023562,0.052961,0.034715,0.024185,0.012422,0.01241,11.305141,0.0
0.001139,6,14.745782,1.0,14.745782,0.741421,0.028244,0.028244,0.052961,0.039348,0.028698,0.020114,0.01714,10.731594,0.0
0.000569,7,15.75559,1.0,15.75559,0.705327,0.042183,0.042183,0.052961,0.051577,0.042503,0.036454,0.032789,10.080864,0.0
0.000569,8,16.630836,1.0,16.630836,0.666957,0.040478,0.040478,0.052961,0.051126,0.040884,0.033221,0.029831,9.312764,0.0
0.0,9,17.993147,1.0,17.993147,0.698498,0.05156,0.05156,0.052961,0.061647,0.051912,0.045277,0.041474,8.444528,0.0
0.0,10,19.715889,1.0,19.715889,0.669835,0.037393,0.037393,0.052961,0.047894,0.038239,0.022267,0.026892,7.506505,0.0
