accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
,,0.0,0.0,1,,0.76822,,0.707541,3.691453
,,0.0,0.0,2,,0.787019,,0.620859,8.816648
,,0.0,0.0,3,,0.787042,,0.574986,9.10026
,,0.0,0.0,4,,0.786602,,0.538245,8.921477
,,0.0,0.0,5,,0.786652,,0.504482,9.91692
,,0.0,0.0,6,,0.787037,,0.476592,10.425442
,,0.0,0.0,7,,0.786721,,0.452511,10.689911
,,0.0,0.0,8,,0.786917,,0.429435,10.963714
,,0.0,0.0,9,,0.786987,,0.417334,10.881336
,,0.0,0.0,10,,0.78671,,0.401323,10.041963
,,0.0,0.0,11,,0.786796,,0.379413,9.977312
,,0.0,0.0,12,,0.786663,,0.368768,9.574853
,,0.0,0.0,13,,0.786426,,0.350783,8.969685
,,0.0,0.0,14,,0.786779,,0.341241,9.096835
,,0.0,0.0,15,,0.786476,,0.329784,9.112916
,,0.0,0.0,16,,0.786462,,0.321046,9.000562
,,0.0,0.0,17,,0.786601,,0.309179,8.748385
,,0.0,0.0,18,,0.786555,,0.299673,8.895216
,,0.0,0.0,19,,0.786976,,0.290354,9.165869
,,0.0,0.0,20,,0.786871,,0.282813,9.207813
,,0.0,0.0,21,,0.786382,,0.272179,8.958041
,,0.0,0.0,22,,0.786336,,0.269368,8.678934
,,0.0,0.0,23,,0.785837,,0.259804,8.382001
,,0.0,0.0,24,,0.785661,,0.251767,8.532559
,,0.0,0.0,25,,0.782809,,0.244334,8.157925
,,0.0,0.0,26,,0.785802,,0.238312,8.846182
,,0.0,0.0,27,,0.786004,,0.23292,8.796337
,,0.0,0.0,28,,0.782991,,0.225321,8.612763
,,0.0,0.0,29,,0.782,,0.22159,8.458288
0.755569,0.852983,0.0,0.0,30,0.739318,0.9459,0.852983,0.215056,11.252592
