accuracy,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,mae_time,mark_mrr,model,primary_metric,seed,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
0.5350515463917526,retweets,mtpp,AttNHP,0.296,1,25.17871856689453,1.0,2404.2804916539144,0.7568728528686406,AttNHP,0.7568728528686406,7,1.0,84.84935760498047,0.0,base,0.0,0.0,0.0
0.47525773195876286,retweets,mtpp,AttNHP,0.362,2,25.04582977294922,1.0,2403.8554687458213,0.7271477669477463,AttNHP,0.7271477669477463,7,1.0,85.18882369995117,0.0,base,0.0,0.0,0.0
0.5268041237113402,retweets,mtpp,AttNHP,0.427,3,24.98818588256836,1.0,2403.6942647028213,0.7527491415284343,AttNHP,0.7527491415284343,7,1.0,84.6630744934082,0.0,base,0.0,0.0,0.0
0.48350515463917526,retweets,mtpp,AttNHP,0.492,4,24.971269607543945,1.0,2403.653668326078,0.7293814440363461,AttNHP,0.7293814440363461,7,1.0,84.54313659667969,0.0,base,0.0,0.0,0.0
0.5237113402061856,retweets,mtpp,AttNHP,0.558,5,24.942472457885742,1.0,2403.370646803158,0.7508591071846559,AttNHP,0.7508591071846559,7,1.0,84.47676849365234,0.0,base,0.0,0.0,0.0
0.5319587628865979,retweets,mtpp,AttNHP,0.626,6,24.901611328125,1.0,2402.749770155764,0.7553264611160633,AttNHP,0.7553264611160633,7,1.0,84.68385314941406,0.0,base,0.0,0.0,0.0
0.5793814432989691,retweets,mtpp,AttNHP,0.691,7,24.86975860595703,1.0,2401.910970425237,0.77938144391345,AttNHP,0.77938144391345,7,1.0,84.49945449829102,0.0,base,0.0,0.0,0.0
0.5577319587628866,retweets,mtpp,AttNHP,0.756,8,24.865997314453125,1.0,2401.017082410989,0.7682130590542076,AttNHP,0.7682130590542076,7,1.0,84.55050277709961,0.0,base,0.0,0.0,0.0
0.5845360824742268,retweets,mtpp,AttNHP,0.823,9,24.844322204589844,1.0,2400.1419384081337,0.7819587635010788,AttNHP,0.7819587635010788,7,1.0,84.57697677612305,0.0,base,0.0,0.0,0.0
0.5670103092783505,retweets,mtpp,AttNHP,0.89,10,24.84061622619629,1.0,2399.2135557880106,0.7726804130163389,AttNHP,0.7726804130163389,7,1.0,84.48614883422852,0.0,base,0.0,0.0,0.0
