accuracy,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,model,mrr,primary_metric,seed,train_gate_mean,train_loss,train_warrant_logit_mean,train_warrant_tail_mass_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements,warrant_tail_mass_mean
0.003050640634533252,icews18,tkg,XERTE,0.067,1,16.733863830566406,0.9500999450683594,xERTE,0.013924136351881956,0.013924136351881956,7,0.9459053874015808,23.06836986541748,2.893871307373047,0.999755859375,warrant,2.0,2.9155561923980713,0.0,0.9999999403953552
0.013422818791946308,icews18,tkg,XERTE,0.131,2,13.680750846862793,0.9515472650527954,xERTE,0.03328177435132397,0.03328177435132397,7,0.9471535980701447,16.220311403274536,2.929804503917694,0.9998779296875,warrant,2.0,2.974485397338867,0.0,0.9999999403953552
0.020134228187919462,icews18,tkg,XERTE,0.197,3,12.269826889038086,0.954687237739563,xERTE,0.046721787022671525,0.046721787022671525,7,0.9482498466968536,13.75668454170227,2.984628677368164,0.9993887692689896,warrant,2.0,3.0560801029205322,0.0,0.9999999403953552
0.028065893837705917,icews18,tkg,XERTE,0.26,4,11.542367935180664,0.9619906544685364,xERTE,0.05943258845523646,0.05943258845523646,7,0.9536563158035278,12.275886535644531,3.1312503814697266,0.9998779296875,warrant,2.0,3.3418917655944824,0.0,0.9999999403953552
0.03233679072605247,icews18,tkg,XERTE,0.327,5,11.046792984008789,0.9702398180961609,xERTE,0.0660095925035767,0.0660095925035767,7,0.9613958299160004,11.494467735290527,3.497443974018097,0.9998779296875,warrant,2.0,3.789982318878174,0.0,0.9999999403953552
0.02989627821842587,icews18,tkg,XERTE,0.393,6,10.72591781616211,0.9737604856491089,xERTE,0.06520629802301263,0.06520629802301263,7,0.9685551822185516,11.019453763961792,3.903901755809784,0.9998779296875,warrant,2.0,4.131548881530762,0.0,0.9999999403953552
0.03477730323367907,icews18,tkg,XERTE,0.458,7,10.514545440673828,0.9738253355026245,xERTE,0.06758133024668651,0.06758133024668651,7,0.9700167775154114,10.767609357833862,4.214828610420227,0.9993887692689896,warrant,2.0,4.388904094696045,0.0,0.9999999403953552
0.03843807199511898,icews18,tkg,XERTE,0.524,8,10.348764419555664,0.9718767404556274,xERTE,0.07048220102319327,0.07048220102319327,7,0.9697908163070679,10.361139297485352,4.427155017852783,0.9998779296875,warrant,2.0,4.505675792694092,0.0,0.9999999403953552
0.03965832824893228,icews18,tkg,XERTE,0.591,9,10.209134101867676,0.9688132405281067,xERTE,0.07239577915706893,0.07239577915706893,7,0.9665572196245193,10.097407579421997,4.4516990184783936,0.9998779296875,warrant,2.0,4.396891117095947,0.0,0.9999999403953552
0.03965832824893228,icews18,tkg,XERTE,0.656,10,10.094073295593262,0.9652963876724243,xERTE,0.07333114425807645,0.07333114425807645,7,0.9644758105278015,9.918687582015991,4.3122241497039795,0.9998779296875,warrant,2.0,4.233778953552246,0.0,0.9999999403953552
