regime,trials,tangent_dim,items,harmful_fraction,common_strength,perp_noise,p_local_bound_improves,mean_local_bound_reduction,mean_diagonal_bound_reduction,mean_cross_penalty,mean_cross_to_diagonal_ratio,mean_offdiag_gram_ratio,mean_harmful_shrinkage_delta,mean_helpful_shrinkage_delta,mean_false_suppression_rate
low_entanglement,5000,32,48,0.45,0.05,0.7,1.0,0.30087616905673714,0.36784888162534934,0.0669727125686122,0.17998779652536628,0.9376858303339061,0.9499999999999996,0.0,0.0
moderate_entanglement,5000,32,48,0.45,0.35,0.55,1.0,0.28965284282989334,0.36732396886839597,0.07767112603850264,0.20925006269034346,0.9437005973449654,0.9499999999999996,0.0,0.0
high_entanglement,5000,32,48,0.45,0.85,0.3,1.0,0.23213283090662343,0.3643159918882992,0.13218316098167576,0.36015893955464745,0.9471666892723819,0.9499999999999996,0.0,0.0
high_curvature_entangled_counterexample,5000,32,48,0.45,0.95,0.15,0.0,-0.2606500892486225,0.3353064002132507,0.5959564894618732,1.7657099649668277,0.9520961915008925,0.9499999999999996,0.0,0.0
