scenario,support_items,noise_items,target_support_gate_mean,target_noise_gate_mean,observed_support_gate_mean,observed_noise_gate_rms,mean_R_S,mean_R_N,mean_snr_ratio,median_snr_ratio,p_snr_improves
weak_alignment_8_32,8,32,0.72,0.6,0.720321636336785,0.6061839618436646,0.720420632862045,0.6051431908685657,1.1943779756806714,1.1911826599423865,0.9853
moderate_alignment_8_32,8,32,0.85,0.5,0.8498125524347903,0.5076434395711215,0.8499034564881504,0.5066867635294161,1.68569071023826,1.6782300295312242,1.0
strong_alignment_8_32,8,32,0.92,0.35,0.919934605570896,0.36008952140666045,0.9197578444070917,0.3591788130292806,2.5838521219112054,2.5694378851936217,1.0
moderate_alignment_4_8,4,8,0.85,0.5,0.8502711452489475,0.5070397827069754,0.8503959592674346,0.5047299212058515,1.7064715890103304,1.6871547233050364,0.9999
moderate_alignment_16_64,16,64,0.85,0.5,0.8498856690182238,0.50790723399971,0.8497931299095267,0.5071357242300265,1.6804812397841598,1.6771389411778874,1.0
false_suppression,8,32,0.45,0.8,0.44994895751772673,0.8030690280364405,0.44965510505994255,0.8025408642724918,0.5609850225328556,0.5601251275299002,0.0
