dataset,model,variant,seed,status,total_parameters,trainable_parameters,train_loss,eval_loss,support_mrr,clean_support_mrr,hard_support_mrr,recall_at_1,recall_at_2,recall_at_5,clean_recall_at_1,hard_recall_at_1,hard_recall_at_2,evidence_f1,auprc,hard_at_1,hard_at_gold_count,unsupported_at_gold_count,precision_at_gold_count,gold_hard_pair_auc,score_margin_gold_hard,candidate_gate_mean,candidate_gate_std,gold_gate_mean,hard_gate_mean,random_gate_mean,gold_attention_mass,hard_attention_mass,random_attention_mass,gold_effective_mass,hard_effective_mass,random_effective_mass,gold_hard_attention_ratio,gold_hard_effective_ratio,gold_random_attention_ratio,gold_random_effective_ratio,elapsed_sec,output_dir
hotpotqa,roberta-base,qiu_g2,7,completed,131739649,131739649,0.313845087736845,0.32378916516900064,0.9167510548523207,0.9763713080168777,0.929620253164557,0.850632911392405,0.9620253164556962,0.9949367088607595,0.9569620253164557,0.8683544303797468,0.9772151898734177,0.7746835443037975,0.8075827043547256,0.12151898734177215,0.3367088607594937,0.22531645569620254,0.7746835443037975,0.9007383966244725,0.559921316301572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.33669972419739,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_7
hotpotqa,roberta-base,qiu_g2,17,completed,131739649,131739649,0.3448411002010107,0.3063802796602249,0.9145569620253164,0.9780590717299578,0.9310126582278481,0.8430379746835444,0.9620253164556962,1.0,0.9569620253164557,0.8708860759493671,0.9746835443037974,0.7746835443037975,0.8063693412968658,0.1240506329113924,0.3265822784810127,0.22531645569620254,0.7746835443037975,0.9062236286919833,0.5505144356101562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.61212658882141,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_17
hotpotqa,roberta-base,qiu_g2,37,completed,131739649,131739649,0.30814586512744424,0.3120523563027382,0.9067088607594936,0.9751054852320674,0.9230801687763713,0.830379746835443,0.959493670886076,0.9974683544303797,0.9518987341772152,0.8582278481012658,0.9670886075949368,0.7708860759493671,0.8088363806081764,0.13924050632911392,0.3341772151898734,0.2291139240506329,0.7708860759493671,0.9008438818565401,0.578239027652025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.92592811584473,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_37
hotpotqa,roberta-base,qiu_g2,47,completed,131739649,131739649,0.2914394158869982,0.2953272473812103,0.9050632911392406,0.979324894514768,0.9179324894514768,0.8227848101265823,0.9696202531645569,1.0,0.959493670886076,0.8430379746835444,0.979746835443038,0.7759493670886076,0.8207777346827648,0.14430379746835442,0.33164556962025316,0.2240506329113924,0.7759493670886076,0.9012658227848102,0.5954588364387315,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.768306255340576,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_47
hotpotqa,roberta-base,qiu_g2,57,completed,131739649,131739649,0.29775086797773836,0.2978431338071823,0.9040506329113923,0.9767932489451476,0.9179324894514768,0.8253164556962025,0.959493670886076,1.0,0.9569620253164557,0.8455696202531645,0.9746835443037974,0.7772151898734178,0.8192103086675707,0.1468354430379747,0.3240506329113924,0.22278481012658227,0.7772151898734178,0.8985232067510548,0.5604726726422087,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.88894867897034,experiments/qiu_gated_attention/outputs_lr1/qiu_g2/seed_57
hotpotqa,roberta-base,qiu_g1,7,completed,131739649,131739649,0.32246466130018236,0.33202402785420415,0.9093670886075949,0.9729957805907172,0.9247679324894514,0.8379746835443038,0.9544303797468354,0.9974683544303797,0.9468354430379747,0.8607594936708861,0.9721518987341772,0.7569620253164557,0.8005591294072633,0.1291139240506329,0.34177215189873417,0.2430379746835443,0.7569620253164557,0.8970464135021098,0.5480706018916398,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.70641326904297,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_7
hotpotqa,roberta-base,qiu_g1,17,completed,131739649,131739649,0.37992082998156546,0.33295278549194335,0.9032489451476794,0.9763713080168777,0.9208860759493671,0.8227848101265823,0.9569620253164557,1.0,0.9544303797468354,0.8531645569620253,0.9670886075949368,0.7544303797468355,0.7812534939817926,0.14430379746835442,0.3468354430379747,0.24556962025316456,0.7544303797468355,0.8970464135021098,0.5470197256057197,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.043710231781006,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_17
hotpotqa,roberta-base,qiu_g1,37,completed,131739649,131739649,0.304282489195466,0.31613600492477417,0.9145569620253164,0.9763713080168775,0.929409282700422,0.8455696202531645,0.9645569620253165,1.0,0.9544303797468354,0.8708860759493671,0.9696202531645569,0.7721518987341772,0.8098156790443678,0.12658227848101267,0.3139240506329114,0.22784810126582278,0.7721518987341772,0.9035864978902952,0.587597937532897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.802098751068115,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_37
hotpotqa,roberta-base,qiu_g1,47,completed,131739649,131739649,0.3039570738375187,0.29486239165067674,0.909789029535865,0.9818565400843882,0.9221518987341772,0.8329113924050633,0.9670886075949368,1.0,0.9645569620253165,0.8531645569620253,0.9772151898734177,0.7873417721518987,0.8196151249310503,0.13924050632911392,0.31139240506329113,0.21265822784810126,0.7873417721518987,0.9046413502109706,0.5439381343312562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.790358781814575,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_47
hotpotqa,roberta-base,qiu_g1,57,completed,131739649,131739649,0.2924718748405576,0.309285002052784,0.9078481012658228,0.9746835443037974,0.9216033755274261,0.8354430379746836,0.9544303797468354,0.9974683544303797,0.9518987341772152,0.8556962025316456,0.9670886075949368,0.7810126582278482,0.8128644692015203,0.13164556962025317,0.3037974683544304,0.2189873417721519,0.7810126582278482,0.9032700421940929,0.5423547301263615,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.03165340423584,experiments/qiu_gated_attention/outputs_lr1/qiu_g1/seed_57
