epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.999237,1.0,9.999237,0.20298,2.299748,2.299748,3.671917,0.0
2,10.020889,1.0,10.020889,0.604437,2.281515,2.281515,3.532688,0.0
3,9.872308,1.0,9.872308,0.273826,2.26398,2.26398,3.508921,0.0
4,9.625821,1.0,9.625821,0.343976,2.249472,2.249472,3.481459,0.0
5,9.3831,1.0,9.3831,0.447866,2.243638,2.243638,3.462704,0.0
6,9.504389,1.0,9.504389,0.290636,2.234391,2.234391,3.44739,0.0
7,9.63715,1.0,9.63715,0.366145,2.252678,2.252678,3.432257,0.0
8,9.508646,1.0,9.508646,0.279793,2.244544,2.244544,3.419418,0.0
9,9.449241,1.0,9.449241,0.24548,2.241722,2.241722,3.406252,0.0
10,9.449812,1.0,9.449812,0.22022,2.231431,2.231431,3.392698,0.0
