accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.547,0.575098,1,0.748733,1.0,0.575098,0.776217,0.0
0.5675,0.598495,2,0.719214,1.0,0.598495,0.716606,0.0
0.59525,0.640383,3,0.683656,1.0,0.640383,0.679699,0.0
0.6195,0.665224,4,0.659369,1.0,0.665224,0.651286,0.0
0.62875,0.678724,5,0.644242,1.0,0.678724,0.624254,0.0
0.6465,0.705732,6,0.622787,1.0,0.705732,0.601652,0.0
0.66225,0.731977,7,0.60346,1.0,0.731977,0.578103,0.0
0.6745,0.742833,8,0.597376,1.0,0.742833,0.558063,0.0
0.68,0.755406,9,0.579942,1.0,0.755406,0.541551,0.0
0.68475,0.764608,10,0.573471,1.0,0.764608,0.517399,0.0
