epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.996063,0.98775,9.996063,0.284303,2.283419,2.283419,3.671444,0.0
2,9.931802,0.98775,9.931802,0.593851,2.272235,2.272235,3.532473,0.0
3,9.661695,0.98775,9.661695,0.415219,2.262481,2.262481,3.507949,0.0
4,9.515264,0.98775,9.515264,0.244678,2.253199,2.253199,3.474945,0.0
5,9.641078,0.98775,9.641078,0.442737,2.245573,2.245573,3.462937,0.0
6,9.675799,0.98775,9.675799,0.303118,2.250734,2.250734,3.447066,0.0
7,9.593311,0.98775,9.593311,0.30182,2.252824,2.252824,3.433227,0.0
8,9.51835,0.98775,9.51835,0.336214,2.257285,2.257285,3.41945,0.0
9,9.551782,0.98775,9.551782,0.259015,2.251247,2.251247,3.406858,0.0
10,9.541883,0.98775,9.541883,0.264236,2.23224,2.23224,3.393231,0.0
