accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.573215,0.600789,2.854236,0.956155,1,0.727387,0.842661,0.600789,0.757817,2.706493
0.601281,0.641936,2.794838,0.977647,2,0.697933,0.864537,0.641936,0.680251,3.525598
0.630262,0.698004,2.56774,0.995241,3,0.636423,0.870781,0.698004,0.642546,4.030614
0.693716,0.763906,2.227937,0.999688,4,0.583221,0.876857,0.763906,0.583163,5.206278
0.731239,0.817683,2.023468,0.999968,5,0.523492,0.878927,0.817683,0.538103,7.150585
0.796522,0.871224,2.027727,0.999992,6,0.455349,0.879373,0.871224,0.491606,8.824692
0.824283,0.895514,1.980926,0.999996,7,0.404659,0.879408,0.895514,0.450511,9.419627
0.821843,0.895987,2.000293,0.999997,8,0.403864,0.879423,0.895987,0.412641,9.759235
0.826113,0.898737,1.956004,0.999998,9,0.39484,0.879447,0.898737,0.395579,10.351739
0.824588,0.8959,1.834261,0.999998,10,0.411151,0.879311,0.8959,0.374721,9.097347
