accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.544201,1,41.243832,0.01572,4024.847464,0.759935,0.759935,96.577042,0.046923
0.459854,2,41.190121,0.015649,4024.621173,0.717491,0.717491,96.700818,0.045566
0.539335,3,41.159946,0.015563,4024.383775,0.758583,0.758583,98.085658,0.044057
0.519059,4,41.137936,0.01541,4023.815208,0.747905,0.747905,99.324008,0.041664
0.529603,5,41.099876,0.015272,4023.082091,0.753177,0.753177,97.082385,0.039808
0.550689,6,41.088779,0.01513,4022.326989,0.764396,0.764396,98.236326,0.038133
0.560422,7,41.083157,0.014983,4021.318791,0.766694,0.766694,96.548055,0.036494
0.559611,8,41.056316,0.014984,4019.741528,0.767505,0.767505,97.540807,0.036479
0.571776,9,41.031109,0.015139,4017.766942,0.774939,0.774939,97.50959,0.038192
0.564477,10,41.007889,0.015299,4015.373153,0.77129,0.77129,95.50292,0.040203
