accuracy,attention_parameter_grad_norm,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,permission_grad_norm,primary_metric,train_loss,warrant_logit_mean
0.595133,0.021635,0.640472,0.0,0.0,2.700693,0.981535,1,0.664623,1.0,0.000127,0.640472,0.700762,0.0
0.826709,0.018684,0.877165,0.0,0.0,1.789953,0.996571,2,0.414717,1.0,0.000196,0.877165,0.538569,0.0
0.8269,0.012912,0.886142,0.0,0.0,2.610327,0.989224,3,0.404896,1.0,0.000112,0.886142,0.459314,0.0
0.8269,0.010154,0.890807,0.0,0.0,2.607701,0.989523,4,0.403379,1.0,9.9e-05,0.890807,0.442844,0.0
0.824458,0.010358,0.89245,0.0,0.0,2.796497,0.987404,5,0.396701,1.0,0.00012,0.89245,0.434879,0.0
0.830485,0.008475,0.897207,0.0,0.0,2.769215,0.989102,6,0.391317,1.0,8.1e-05,0.897207,0.42441,0.0
0.830867,0.011253,0.896378,0.0,0.0,2.741211,0.989266,7,0.39114,1.0,9e-05,0.896378,0.41384,0.0
0.824077,0.011421,0.898542,0.0,0.0,2.766354,0.989834,8,0.391562,1.0,7.8e-05,0.898542,0.403172,0.0
0.829036,0.010808,0.899711,0.0,0.0,2.813876,0.988771,9,0.388717,1.0,6.5e-05,0.899711,0.390854,0.0
0.82854,0.014054,0.90206,0.0,0.0,2.659909,0.990928,10,0.389538,1.0,8.4e-05,0.90206,0.382249,0.0
0.827128,0.014455,0.899582,0.0,0.0,2.715809,0.991426,11,0.39771,1.0,7.7e-05,0.899582,0.372767,0.0
0.826976,0.01397,0.90131,0.0,0.0,2.642871,0.992417,12,0.392409,1.0,7.3e-05,0.90131,0.362057,0.0
0.831363,0.015352,0.902846,0.0,0.0,2.608825,0.992469,13,0.408587,1.0,8.3e-05,0.902846,0.350192,0.0
0.831324,0.013634,0.903634,0.0,0.0,2.664257,0.992161,14,0.404036,1.0,7.9e-05,0.903634,0.337277,0.0
0.830447,0.014167,0.901232,0.0,0.0,2.746725,0.993531,15,0.423897,1.0,8.8e-05,0.901232,0.328553,0.0
0.831363,0.016554,0.902489,0.0,0.0,2.615831,0.993876,16,0.428051,1.0,0.000125,0.902489,0.324221,0.0
0.826633,0.015036,0.900472,0.0,0.0,2.670411,0.994092,17,0.427393,1.0,0.000127,0.900472,0.309858,0.0
0.828273,0.016529,0.902434,0.0,0.0,2.684346,0.994488,18,0.451347,1.0,0.000181,0.902434,0.302872,0.0
0.830523,0.017539,0.902186,0.0,0.0,2.715817,0.994354,19,0.448031,1.0,0.000224,0.902186,0.294029,0.0
0.828959,0.016401,0.903405,0.0,0.0,2.71883,0.994426,20,0.46058,1.0,0.000219,0.903405,0.285866,0.0
0.830256,0.016934,0.904155,0.0,0.0,2.649031,0.994707,21,0.454239,1.0,0.000253,0.904155,0.272385,0.0
0.824229,0.017992,0.899611,0.0,0.0,2.782748,0.993978,22,0.476024,1.0,0.000346,0.899611,0.269303,0.0
0.826518,0.019646,0.901174,0.0,0.0,2.747416,0.994195,23,0.494065,1.0,0.000409,0.901174,0.264948,0.0
0.831973,0.018412,0.905341,0.0,0.0,2.741973,0.994881,24,0.472811,1.0,0.000364,0.905341,0.255982,0.0
0.827662,0.018796,0.901391,0.0,0.0,2.638968,0.994382,25,0.500358,1.0,0.000452,0.901391,0.24791,0.0
0.830104,0.018766,0.902166,0.0,0.0,2.758921,0.994457,26,0.528688,1.0,0.000545,0.902166,0.238143,0.0
0.828158,0.020344,0.903148,0.0,0.0,2.683139,0.994914,27,0.540655,1.0,0.000415,0.903148,0.233774,0.0
0.83388,0.019415,0.904407,0.0,0.0,2.667115,0.995556,28,0.5174,1.0,0.000514,0.904407,0.228705,0.0
0.83121,0.01998,0.904573,0.0,0.0,2.735168,0.994732,29,0.563308,1.0,0.00054,0.904573,0.224097,0.0
0.828464,0.020818,0.903445,0.0,0.0,2.686595,0.99517,30,0.574423,1.0,0.000511,0.903445,0.217773,0.0
