accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.881863,1,15.064116,0.952095,0.000432,0.000432,0.881687,0.880032,3.316947,3.318475,1.00038,0.082033,0.082067,0.000414,0.000439,0.009931,0.009933,1.000093,0.283333,19.44455,2.935555
0.0,0.98401,2,13.328181,0.960235,0.000495,0.000495,0.983854,0.983648,4.845596,4.856328,1.001268,0.108073,0.108212,0.00071,0.00041,0.011382,0.011389,0.999916,0.283333,14.468571,3.131618
0.000833,0.999017,3,11.998688,0.978495,0.00388,0.00388,0.998995,0.998992,10.183851,10.24233,1.00186,0.149478,0.149747,0.012731,0.000381,0.013266,0.013278,0.998997,0.283333,12.543992,3.776886
0.021667,0.999973,4,10.824062,0.995735,0.047921,0.047921,0.999973,0.999972,18.823343,18.90844,1.000655,0.172314,0.172422,0.168352,0.000308,0.014464,0.014468,0.999458,0.283333,11.050114,5.492171
0.022083,0.99999,5,10.599194,0.998541,0.051118,0.051118,0.999989,0.999989,7.591851,7.602148,1.000334,0.133145,0.133189,0.179667,0.000296,0.012636,0.012638,0.999919,0.283333,10.342672,6.599397
0.021667,0.999937,6,10.329379,0.998199,0.04548,0.04548,0.999937,0.999935,5.330976,5.334969,1.000412,0.106933,0.106976,0.159727,0.000313,0.010912,0.010914,1.000007,0.283333,9.895454,6.372038
0.02125,0.999918,7,10.149915,0.998247,0.046436,0.046436,0.999918,0.999915,5.508659,5.512544,1.000448,0.113467,0.113515,0.163057,0.00033,0.011339,0.011343,1.000046,0.283333,9.574865,6.430436
0.025,0.999962,8,9.952251,0.998825,0.053008,0.053008,0.999962,0.999961,7.177827,7.182299,1.00035,0.138305,0.138349,0.186214,0.000345,0.012561,0.012564,1.000008,0.283333,9.283072,6.880704
0.025417,0.999961,9,9.878277,0.998952,0.054531,0.054531,0.999961,0.99996,8.029723,8.034814,1.000311,0.149255,0.149298,0.19155,0.000361,0.012987,0.01299,0.999996,0.283333,9.038622,7.031433
0.022917,0.999934,10,9.81377,0.998851,0.052789,0.052789,0.999934,0.999932,8.915493,8.921914,1.000328,0.155737,0.155786,0.185328,0.000389,0.012997,0.013,0.999986,0.283333,8.858262,6.960319
