accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
,,0.0,0.0,3.004672,1.0,1,,0.768509,,0.703637,3.538
,,0.0,0.0,1.689606,1.0,2,,0.786855,,0.563692,9.454027
,,0.0,0.0,1.441681,1.0,3,,0.786821,,0.460231,11.680937
,,0.0,0.0,1.989422,1.0,4,,0.786505,,0.44136,11.49114
,,0.0,0.0,2.098986,1.0,5,,0.786203,,0.431975,10.941206
,,0.0,0.0,2.078967,1.0,6,,0.786252,,0.422981,10.172019
,,0.0,0.0,2.107739,1.0,7,,0.786517,,0.410984,9.776443
,,0.0,0.0,2.169732,1.0,8,,0.786367,,0.399416,10.080648
,,0.0,0.0,2.079094,1.0,9,,0.786592,,0.386987,10.066044
,,0.0,0.0,2.139569,1.0,10,,0.78558,,0.379617,9.968132
,,0.0,0.0,2.076851,1.0,11,,0.786394,,0.365476,10.722149
,,0.0,0.0,2.131464,1.0,12,,0.786443,,0.356006,10.452511
,,0.0,0.0,2.148053,1.0,13,,0.786456,,0.343818,10.580309
,,0.0,0.0,2.11975,1.0,14,,0.786438,,0.334001,10.283897
,,0.0,0.0,2.133147,1.0,15,,0.785548,,0.323362,10.226982
,,0.0,0.0,2.122106,1.0,16,,0.784391,,0.311564,9.741437
,,0.0,0.0,2.184992,1.0,17,,0.785062,,0.306511,9.842169
,,0.0,0.0,2.138235,1.0,18,,0.785607,,0.294976,9.582334
,,0.0,0.0,2.176965,1.0,19,,0.785118,,0.287519,9.460546
,,0.0,0.0,2.159678,1.0,20,,0.782322,,0.280483,9.867909
,,0.0,0.0,2.171226,1.0,21,,0.774901,,0.2754,9.498062
,,0.0,0.0,2.131851,1.0,22,,0.78535,,0.266146,10.027962
,,0.0,0.0,2.174574,1.0,23,,0.786558,,0.258915,10.096313
,,0.0,0.0,2.091731,1.0,24,,0.785519,,0.252495,9.504328
,,0.0,0.0,2.127424,1.0,25,,0.783911,,0.243903,9.161246
,,0.0,0.0,2.128327,1.0,26,,0.783241,,0.236675,9.642535
,,0.0,0.0,2.164662,1.0,27,,0.776261,,0.230533,9.434565
,,0.0,0.0,2.141551,1.0,28,,0.770846,,0.225293,9.788763
,,0.0,0.0,2.126171,1.0,29,,0.779624,,0.21967,9.834733
0.831286,0.902258,0.0,0.0,2.64545,1.0,30,0.613869,0.946496,0.902258,0.216286,13.194944
