accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.55525,0.574358,2.947372,0.951805,1,0.743202,0.848799,0.574358,0.771092,2.651069
0.586,0.622055,2.935514,0.959226,2,0.70483,0.859082,0.622055,0.699864,2.920805
0.59575,0.649078,2.856191,0.971608,3,0.677244,0.874072,0.649078,0.668259,3.539289
0.622,0.68092,2.702465,0.985392,4,0.64823,0.881219,0.68092,0.634392,4.11685
0.6495,0.714349,2.388838,0.995167,5,0.61613,0.887135,0.714349,0.599976,5.296169
0.68325,0.754576,2.051069,0.998876,6,0.581039,0.889061,0.754576,0.572546,6.82058
0.70925,0.78775,1.849025,0.999746,7,0.547478,0.889117,0.78775,0.541225,7.391839
0.73575,0.816956,1.775485,0.999928,8,0.520793,0.889568,0.816956,0.512865,9.221785
0.7495,0.838237,1.834937,0.999973,9,0.50297,0.8895,0.838237,0.488783,9.311916
0.7725,0.853668,1.996487,0.999986,10,0.473755,0.889622,0.853668,0.467967,10.641193
