accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.559963,0.587159,1,0.710974,1.0,0.587159,0.736366,0.0
0.592386,0.635076,2,0.664186,1.0,0.635076,0.661336,0.0
0.636558,0.695845,3,0.629105,1.0,0.695845,0.618513,0.0
0.647162,0.712709,4,0.61877,1.0,0.712709,0.585664,0.0
0.67043,0.736108,5,0.607388,1.0,0.736108,0.560181,0.0
0.683705,0.755054,6,0.596055,1.0,0.755054,0.532488,0.0
0.699496,0.772863,7,0.574951,1.0,0.772863,0.508298,0.0
0.7056,0.783135,8,0.578436,1.0,0.783135,0.479087,0.0
0.722002,0.799388,9,0.554898,1.0,0.799388,0.449171,0.0
0.73375,0.810398,10,0.582201,1.0,0.810398,0.426477,0.0
