accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.54475,0.567786,2.956466,1.0,1,0.74977,1.0,0.567786,0.781235,0.0
0.57175,0.596259,2.937696,1.0,2,0.720936,1.0,0.596259,0.721193,0.0
0.5925,0.63068,2.891945,1.0,3,0.692145,1.0,0.63068,0.684135,0.0
0.61025,0.661326,2.745105,1.0,4,0.661288,1.0,0.661326,0.663473,0.0
0.639,0.694698,2.476064,1.0,5,0.633492,1.0,0.694698,0.634339,0.0
0.68075,0.746024,2.085986,1.0,6,0.594439,1.0,0.746024,0.605614,0.0
0.71725,0.786885,1.830817,1.0,7,0.560332,1.0,0.786885,0.572963,0.0
0.73175,0.808978,1.808925,1.0,8,0.534234,1.0,0.808978,0.550696,0.0
0.7505,0.832896,1.991248,1.0,9,0.504048,1.0,0.832896,0.524162,0.0
0.7785,0.861151,2.005275,1.0,10,0.478361,1.0,0.861151,0.497003,0.0
