accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.556,0.57481,2.941574,0.951669,1,0.742643,1.0,0.57481,0.770725,0.0
0.5845,0.620337,2.930847,0.958909,2,0.705984,1.0,0.620337,0.699013,0.0
0.59075,0.646451,2.851751,0.971185,3,0.677681,1.0,0.646451,0.66723,0.0
0.61675,0.676588,2.693604,0.985026,4,0.652296,1.0,0.676588,0.633274,0.0
0.63775,0.704434,2.375367,0.994967,5,0.625106,1.0,0.704434,0.599435,0.0
0.66725,0.733504,2.017869,0.998819,6,0.599749,1.0,0.733504,0.571807,0.0
0.68425,0.757644,1.791405,0.999734,7,0.576857,1.0,0.757644,0.540172,0.0
0.68225,0.757924,1.729343,0.999925,8,0.586053,1.0,0.757924,0.511222,0.0
0.67775,0.75068,1.774712,0.999971,9,0.590097,1.0,0.75068,0.487022,0.0
0.6465,0.712644,2.003972,0.999986,10,0.628987,1.0,0.712644,0.46541,0.0
