dataset,model,variant,seed,status,train_loss,eval_loss,support_mrr,clean_support_mrr,hard_support_mrr,recall_at_1,recall_at_2,recall_at_5,clean_recall_at_1,hard_recall_at_1,hard_recall_at_2,evidence_f1,auprc,hard_at_1,hard_at_gold_count,unsupported_at_gold_count,precision_at_gold_count,gold_hard_pair_auc,score_margin_gold_hard,candidate_gate_mean,candidate_gate_std,gold_gate_mean,hard_gate_mean,random_gate_mean,gold_attention_mass,hard_attention_mass,random_attention_mass,gold_effective_mass,hard_effective_mass,random_effective_mass,gold_hard_attention_ratio,gold_hard_effective_ratio,gold_random_attention_ratio,gold_random_effective_ratio,elapsed_sec,output_dir
hotpotqa,roberta-base,open_path_no_gate,7,completed,0.31099935099482534,0.36162265598773957,0.9140084388185653,0.9818565400843882,0.9255274261603375,0.8405063291139241,0.9670886075949368,1.0,0.9645569620253165,0.8582278481012658,0.979746835443038,0.7632911392405063,0.7987304076512068,0.13164556962025317,0.3341772151898734,0.23670886075949368,0.7632911392405063,0.8977848101265823,0.5683238508101682,1.0,0.0,1.0,1.0,1.0,0.009239524057851126,0.0143082464336417,0.02037733817068778,0.009239524057851126,0.0143082464336417,0.02037733817068778,0.6457481775074169,0.6457481775074169,0.45342154016670916,0.45342154016670916,41.932891607284546,experiments/harmful_path_audit/outputs/open_path_no_gate/seed_7
hotpotqa,roberta-base,open_path_no_gate,17,completed,0.30437795113772154,0.32205241739749907,0.9010789632308619,0.9759493670886076,0.9167510548523207,0.8202531645569621,0.9544303797468354,0.9974683544303797,0.9544303797468354,0.8455696202531645,0.9670886075949368,0.7734177215189874,0.8038794028598751,0.14936708860759493,0.32151898734177214,0.22658227848101264,0.7734177215189874,0.8964135021097046,0.5803700405854795,1.0,0.0,1.0,1.0,1.0,0.01921901901647637,0.014763679482878187,0.020311515478196537,0.01921901901647637,0.014763679482878187,0.020311515478196537,1.3017770426921793,1.3017770426921793,0.9462129518157859,0.9462129518157859,39.38074707984924,experiments/harmful_path_audit/outputs/open_path_no_gate/seed_17
hotpotqa,roberta-base,open_path_no_gate,37,completed,0.29401822328567506,0.29155204460024836,0.9235021097046413,0.9827004219409282,0.9350210970464135,0.8607594936708861,0.9645569620253165,1.0,0.9670886075949368,0.8784810126582279,0.9772151898734177,0.789873417721519,0.8278600551318228,0.11392405063291139,0.3037974683544304,0.21012658227848102,0.789873417721519,0.9113924050632911,0.5597366117564805,1.0,0.0,1.0,1.0,1.0,0.009406521336170547,0.01302205913228431,0.019597120224045573,0.009406521336170547,0.01302205913228431,0.019597120224045573,0.7223528353399874,0.7223528353399874,0.4799950823707654,0.4799950823707654,39.20934700965881,experiments/harmful_path_audit/outputs/open_path_no_gate/seed_37
hotpotqa,roberta-base,open_path_no_gate,47,completed,0.3209210686385632,0.3181078371405601,0.9070464135021097,0.9780590717299578,0.9215189873417722,0.8354430379746836,0.9468354430379747,1.0,0.9569620253164557,0.8582278481012658,0.9620253164556962,0.760759493670886,0.811431579521973,0.1341772151898734,0.32151898734177214,0.23924050632911392,0.760759493670886,0.8992616033755275,0.6017209249850705,1.0,0.0,1.0,1.0,1.0,0.02113820828634879,0.020081454250813403,0.028736157107170666,0.02113820828634879,0.020081454250813403,0.028736157107170666,1.052623381869497,1.052623381869497,0.735596210986544,0.735596210986544,39.87320160865784,experiments/harmful_path_audit/outputs/open_path_no_gate/seed_47
hotpotqa,roberta-base,open_path_no_gate,57,completed,0.3021234297379851,0.31569684445858004,0.909789029535865,0.9738396624472573,0.9240506329113924,0.8379746835443038,0.9569620253164557,0.9974683544303797,0.9493670886075949,0.8582278481012658,0.9746835443037974,0.7772151898734178,0.8204915730481857,0.1341772151898734,0.3240506329113924,0.22278481012658227,0.7772151898734178,0.9018987341772152,0.4852427143862919,1.0,0.0,1.0,1.0,1.0,0.005479361890428799,0.0058007946244296475,0.00783390965692193,0.005479361890428799,0.0058007946244296475,0.00783390965692193,0.944588154759495,0.944588154759495,0.6994415471191084,0.6994415471191084,39.25207304954529,experiments/harmful_path_audit/outputs/open_path_no_gate/seed_57
hotpotqa,roberta-base,full_warrant,7,completed,0.32418594099581244,0.34201925665140154,0.9145569620253164,0.9814345991561181,0.9267932489451478,0.8405063291139241,0.9746835443037974,0.9974683544303797,0.9645569620253165,0.8607594936708861,0.9822784810126582,0.7835443037974683,0.8034102200973648,0.1341772151898734,0.31645569620253167,0.21645569620253163,0.7835443037974683,0.8969409282700422,0.5911850424693653,0.28960990782872764,0.4012787053892652,0.78598121643324,0.16294882408400324,0.10014516863222922,0.00603236819133986,0.00636972687812006,0.009009135021895081,0.004445961386341453,0.001010423547834476,0.0009158789767721264,0.9470371817763453,4.400096767212094,0.6695835034861033,4.854310994243535,42.74100375175476,experiments/harmful_path_audit/outputs/full_warrant/seed_7
hotpotqa,roberta-base,full_warrant,17,completed,0.3021804469451308,0.3200616246461868,0.9120253164556962,0.9839662447257383,0.9227848101265823,0.8354430379746836,0.9721518987341772,0.9974683544303797,0.9696202531645569,0.8531645569620253,0.979746835443038,0.7784810126582279,0.8014312188179197,0.13924050632911392,0.3265822784810127,0.22151898734177214,0.7784810126582279,0.8986286919831225,0.5789907757124081,0.9999986189819831,5.40246197007231e-06,0.9999959739915868,0.9999993788916254,0.9999996922146306,0.016084282147200243,0.014862197082923212,0.020515152010769047,0.016084224677662008,0.014862189885815351,0.020515146549324816,1.082227752562992,1.08222440981009,0.7840196425918315,0.7840170499874574,42.48410940170288,experiments/harmful_path_audit/outputs/full_warrant/seed_17
hotpotqa,roberta-base,full_warrant,37,completed,0.29293782837688925,0.30445592641830443,0.9135443037974683,0.9784810126582278,0.9248945147679325,0.8481012658227848,0.9493670886075949,1.0,0.959493670886076,0.8632911392405064,0.9645569620253165,0.769620253164557,0.8078643326505106,0.13164556962025317,0.3341772151898734,0.23037974683544304,0.769620253164557,0.9030590717299578,0.5245527319526614,0.305995783928316,0.4114091575280083,0.8080539344314565,0.17854517516151866,0.11445041958207931,0.011553803302144552,0.008013192825386668,0.011554040893361707,0.00995318251271454,0.001915344273460875,0.001681773548959891,1.4418476572210823,5.196550119279564,0.9999794365262035,5.918265582705937,42.352651596069336,experiments/harmful_path_audit/outputs/full_warrant/seed_37
hotpotqa,roberta-base,full_warrant,47,completed,0.3197300023213029,0.30521379232406615,0.9089451476793248,0.9835443037974684,0.9203375527426161,0.8354430379746836,0.9518987341772152,1.0,0.9670886075949368,0.8531645569620253,0.9670886075949368,0.7734177215189874,0.8171542799060704,0.13924050632911392,0.3139240506329114,0.22658227848101264,0.7734177215189874,0.898945147679325,0.5799879880252152,0.9999999400045353,6.802835390113656e-07,0.9999997678430791,0.9999999935888094,0.9999999962697492,0.021557946114161824,0.020491135757746762,0.02846359053921803,0.021557942197529323,0.020491135627823013,0.028463590418927362,1.052062041315194,1.0520618568478846,0.7573867423527826,0.7573866079521012,42.54051065444946,experiments/harmful_path_audit/outputs/full_warrant/seed_47
hotpotqa,roberta-base,full_warrant,57,completed,0.2976711245253682,0.293048220872879,0.9211814345991561,0.9767932489451476,0.9354430379746835,0.8582278481012658,0.9620253164556962,1.0,0.9544303797468354,0.8810126582278481,0.9721518987341772,0.7873417721518987,0.8300749445948361,0.10632911392405063,0.3012658227848101,0.21265822784810126,0.7873417721518987,0.9058016877637132,0.4837557250830318,0.3238384783038291,0.42303889810854,0.8467676696129778,0.1854720673678052,0.11794674519037755,0.0073292723621094374,0.004969060324723474,0.006540954554408228,0.006569486884898729,0.0010791874402389734,0.0009814213172090983,1.4749815625386493,6.087438233569502,1.1205203003848923,6.693849796925755,42.27826523780823,experiments/harmful_path_audit/outputs/full_warrant/seed_57
