accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,15.063009,0.163486,15.063009,1.094684,1.648689,1.648689,0.0,2.545979,1.648689,0.7514,13.011374,0.496535
0.0,2,15.098621,0.163472,15.098621,0.989658,1.646756,1.646756,0.0,2.543192,1.646756,0.75032,12.629846,0.49626
0.0,3,15.337008,0.163343,15.337008,0.729278,1.647901,1.647901,0.0,2.544396,1.647901,0.751406,12.216705,0.493599
0.0,4,15.498117,0.162952,15.498117,0.757589,1.646558,1.646558,0.0,2.541438,1.646558,0.751678,11.821141,0.48574
0.0,5,16.117117,0.162577,16.117117,0.736494,1.645034,1.645034,0.0,2.539762,1.645034,0.750307,11.364699,0.478643
0.0,6,16.897211,0.162179,16.897211,0.778145,1.64717,1.64717,0.0,2.543437,1.64717,0.750902,10.802381,0.471263
0.000569,7,17.912416,0.161374,17.912416,0.7702,1.654325,1.654325,0.0,2.553281,1.654325,0.755368,10.163366,0.457307
0.0,8,18.757727,0.160707,18.757727,0.760718,1.63838,1.63838,0.0,2.528942,1.63838,0.747818,9.419691,0.446796
0.000569,9,20.169231,0.15851,20.169231,0.775879,1.659651,1.659651,0.0,2.562575,1.659651,0.756728,8.557673,0.415673
0.0,10,22.057497,0.154129,22.057497,0.780795,1.638273,1.638273,0.0,2.529107,1.638273,0.747439,7.59973,0.366369
