dataset,model,variant,seed,status,train_loss,eval_loss,support_mrr,clean_support_mrr,hard_support_mrr,recall_at_1,recall_at_2,recall_at_5,clean_recall_at_1,hard_recall_at_1,hard_recall_at_2,evidence_f1,auprc,hard_at_1,hard_at_gold_count,unsupported_at_gold_count,precision_at_gold_count,gold_hard_pair_auc,score_margin_gold_hard,candidate_gate_mean,candidate_gate_std,gold_gate_mean,hard_gate_mean,random_gate_mean,gold_attention_mass,hard_attention_mass,random_attention_mass,gold_effective_mass,hard_effective_mass,random_effective_mass,gold_hard_attention_ratio,gold_hard_effective_ratio,gold_random_attention_ratio,gold_random_effective_ratio,elapsed_sec,output_dir
hotpotqa,roberta-base,base,7,completed,0.30893714152276514,0.31812726736068725,0.9158227848101266,0.9793248945147679,0.9289873417721519,0.8455696202531645,0.9645569620253165,0.9974683544303797,0.959493670886076,0.8658227848101265,0.979746835443038,0.7772151898734178,0.8020131343959261,0.1240506329113924,0.3189873417721519,0.22278481012658227,0.7772151898734178,0.9027426160337554,0.558004901251846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.454838037490845,experiments/novelty_package/outputs/base/seed_7
hotpotqa,roberta-base,base,17,completed,0.27947917316108944,0.30273877307772634,0.9124050632911391,0.9818565400843882,0.9236286919831224,0.8379746835443038,0.9670886075949368,1.0,0.9645569620253165,0.8556962025316456,0.9772151898734177,0.779746835443038,0.8170893762341173,0.13924050632911392,0.31139240506329113,0.22025316455696203,0.779746835443038,0.9048523206751053,0.5985842200951504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.651930809020996,experiments/novelty_package/outputs/base/seed_17
hotpotqa,roberta-base,base,37,completed,0.2912088863551617,0.30258663654327395,0.9049367088607595,0.971308016877637,0.9259493670886076,0.8278481012658228,0.9544303797468354,1.0,0.9443037974683545,0.8632911392405064,0.9696202531645569,0.7683544303797468,0.8138311859484644,0.1341772151898734,0.3189873417721519,0.23164556962025318,0.7683544303797468,0.9025316455696203,0.5621403321517211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.70435857772827,experiments/novelty_package/outputs/base/seed_37
hotpotqa,roberta-base,post_mlp,7,completed,0.2975740533322096,0.33068922847509385,0.8969198312236286,0.9780590717299578,0.910126582278481,0.810126582278481,0.959493670886076,1.0,0.9569620253164557,0.830379746835443,0.9721518987341772,0.7658227848101266,0.8031289784504811,0.1620253164556962,0.32151898734177214,0.23417721518987342,0.7658227848101266,0.9,0.5956176328409919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.66805672645569,experiments/novelty_package/outputs/post_mlp/seed_7
hotpotqa,roberta-base,post_mlp,17,completed,0.2877242736890912,0.32863173097372056,0.9030379746835443,0.9755274261603375,0.9166244725738396,0.8278481012658228,0.9468354430379747,0.9949367088607595,0.9518987341772152,0.8481012658227848,0.9620253164556962,0.7670886075949367,0.8060913111205044,0.14177215189873418,0.32151898734177214,0.23291139240506328,0.7670886075949367,0.8933544303797468,0.6033953091554061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.52085208892822,experiments/novelty_package/outputs/post_mlp/seed_17
hotpotqa,roberta-base,post_mlp,37,completed,0.2862410531938076,0.29392527282238007,0.91084388185654,0.9784810126582278,0.9244725738396623,0.8354430379746836,0.9670886075949368,1.0,0.959493670886076,0.8556962025316456,0.9822784810126582,0.7734177215189874,0.8217321271409396,0.13164556962025317,0.32151898734177214,0.22658227848101264,0.7734177215189874,0.9066455696202531,0.5652881680747086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.85389256477356,experiments/novelty_package/outputs/post_mlp/seed_37
hotpotqa,roberta-base,post_attn_glu,7,completed,0.30564253687858584,0.3292765128612518,0.9105726341169379,0.9827004219409282,0.9172573839662447,0.8430379746835444,0.9468354430379747,0.9949367088607595,0.9670886075949368,0.850632911392405,0.9569620253164557,0.7645569620253164,0.7902482198390252,0.13670886075949368,0.3341772151898734,0.23544303797468355,0.7645569620253164,0.8874472573839663,0.5719106025013382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.00320744514465,experiments/novelty_package/outputs/post_attn_glu/seed_7
hotpotqa,roberta-base,post_attn_glu,17,completed,0.2836275930330157,0.3178987202048302,0.9025738396624472,0.9729957805907172,0.9182278481012659,0.8253164556962025,0.9544303797468354,0.9974683544303797,0.9468354430379747,0.850632911392405,0.9645569620253165,0.7518987341772152,0.8014607511028963,0.14430379746835442,0.3468354430379747,0.2481012658227848,0.7518987341772152,0.8945147679324895,0.5710099594132142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.647891998291016,experiments/novelty_package/outputs/post_attn_glu/seed_17
hotpotqa,roberta-base,post_attn_glu,37,completed,0.28733845695853233,0.303915356695652,0.9021940928270042,0.970886075949367,0.9225738396624473,0.8202531645569621,0.959493670886076,1.0,0.9443037974683545,0.8531645569620253,0.9772151898734177,0.7721518987341772,0.8183703205243174,0.13670886075949368,0.31645569620253167,0.22784810126582278,0.7721518987341772,0.904746835443038,0.5465927489663333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.80933380126953,experiments/novelty_package/outputs/post_attn_glu/seed_37
hotpotqa,roberta-base,attention_readout,7,completed,0.3025499165803194,0.3285197015106678,0.9160337552742616,0.9843881856540084,0.9257383966244724,0.8455696202531645,0.9670886075949368,1.0,0.9696202531645569,0.8607594936708861,0.9746835443037974,0.7835443037974683,0.8163578139941612,0.13164556962025317,0.32151898734177214,0.21645569620253163,0.7835443037974683,0.9054852320675106,0.6118699586302836,0.27619233799064963,0.40025997173429345,0.7763540311468805,0.1448933299014046,0.08716618963151417,0.01179762608699867,0.01687991076162403,0.023937537934452534,0.007208878374474304,0.0019053980462750782,0.0018778448556768417,0.6989151929535208,3.7833975890587084,0.492850439310165,3.838910521644755,41.24590611457825,experiments/novelty_package/outputs/attention_readout/seed_7
