domain,dataset,model,primary_metric,direction,base,warrant,delta_warrant_minus_base,improvement
ctdg,lastfm,DyGFormer,auc,higher,0.7361004139118147,0.8231812207104066,0.08708080679859187,0.08708080679859187
mtpp,retweets,AttNHP,mark_mrr,higher,0.7726804130163389,0.7668384887815751,-0.005841924234763818,-0.005841924234763818
rag,hotpotqa,LED,support_mrr,higher,0.5513686322526584,0.5535064147018031,0.002137782449144643,0.002137782449144643
stpp,earthquake,Transformer-STPP,rmse_location,lower,1.4960963091129602,1.5543049409569347,0.05820863184397451,-0.05820863184397451
tkg,icews18,xERTE,mrr,higher,0.0127062967816402,0.0733311442580764,0.06062484747643619,0.06062484747643619
