seed,open_mrr,full_mrr,permission_delta_mrr,open_gold_attention,open_hard_attention,open_random_attention,full_gold_gate,full_hard_gate,full_random_gate,full_gold_hard_effective_ratio,full_gold_random_effective_ratio,full_unsupported,open_unsupported
7,0.9140084388185652,0.9145569620253164,0.0005485232067512502,0.0092395240578511,0.0143082464336417,0.0203773381706877,0.78598121643324,0.1629488240840032,0.1001451686322292,4.400096767212094,4.854310994243535,0.2164556962025316,0.2367088607594936
17,0.901078963230862,0.9120253164556962,0.010946353224834171,0.0192190190164763,0.0147636794828781,0.0203115154781965,0.9999959739915868,0.9999993788916254,0.9999996922146306,1.08222440981009,0.7840170499874574,0.2215189873417721,0.2265822784810126
37,0.9235021097046412,0.9135443037974684,-0.009957805907172768,0.0094065213361705,0.0130220591322843,0.0195971202240455,0.8080539344314565,0.1785451751615186,0.1144504195820793,5.196550119279564,5.918265582705937,0.230379746835443,0.210126582278481
47,0.9070464135021096,0.9089451476793248,0.0018987341772152,0.0211382082863487,0.0200814542508134,0.0287361571071706,0.9999997678430792,0.9999999935888094,0.9999999962697492,1.0520618568478846,0.7573866079521012,0.2265822784810126,0.2392405063291139
57,0.909789029535865,0.921181434599156,0.011392405063290978,0.0054793618904287,0.0058007946244296,0.0078339096569219,0.8467676696129778,0.1854720673678052,0.1179467451903775,6.087438233569502,6.693849796925755,0.2126582278481012,0.2227848101265822
