accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.575603,0.606077,3.462107,0.974165,1,0.703311,0.917065,0.606077,0.743373,3.787393
0.628547,0.675612,2.606682,0.998351,2,0.643923,0.931816,0.675612,0.662592,7.837333
0.755798,0.833485,2.189087,0.999964,3,0.519427,0.932058,0.833485,0.602123,12.915636
0.820262,0.887655,2.115599,0.999994,4,0.421804,0.932059,0.887655,0.515164,14.275367
0.839487,0.888764,2.569599,0.999996,5,0.394516,0.932059,0.888764,0.478677,14.535615
0.836131,0.892202,2.604121,0.999996,6,0.396336,0.932057,0.892202,0.470556,13.489242
0.838877,0.895736,2.476252,0.999996,7,0.389887,0.932049,0.895736,0.454977,12.044565
0.838953,0.893444,2.652259,0.999996,8,0.391685,0.932045,0.893444,0.446249,11.531472
0.837809,0.895873,2.49472,0.999996,9,0.391538,0.931935,0.895873,0.435471,9.572645
0.836054,0.897353,2.567436,0.999996,10,0.391029,0.931995,0.897353,0.421726,10.397909
