accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.856473,1,14.798275,1.0,0.001136,0.001136,0.859005,0.858995,2.983491,2.983491,1.0,0.074572,0.074572,0.001785,0.000879,0.009554,0.009554,1.0,0.283333,18.852623,0.0
0.014167,0.983116,2,12.885892,1.0,0.014828,0.014828,0.983529,0.983404,3.649613,3.649613,1.0,0.087948,0.087948,0.031611,0.008192,0.010639,0.010639,1.0,0.283333,14.111788,0.0
0.015,0.999099,3,11.558163,1.0,0.01829,0.01829,0.999114,0.999106,6.810276,6.810276,1.0,0.116634,0.116634,0.043889,0.008169,0.012328,0.012328,1.0,0.283333,12.268322,0.0
0.039583,0.99998,4,10.531697,1.0,0.067269,0.067269,0.99998,0.99998,17.340318,17.340318,1.0,0.143192,0.143192,0.217242,0.007977,0.013998,0.013998,1.0,0.283333,10.787547,0.0
0.04125,0.999988,5,10.309474,1.0,0.072708,0.072708,0.999989,0.999988,7.021854,7.021854,1.0,0.120537,0.120537,0.23641,0.007988,0.013078,0.013078,1.0,0.283333,10.123265,0.0
0.038333,0.999924,6,10.015574,1.0,0.06723,0.06723,0.999928,0.999924,4.7049,4.7049,1.0,0.10701,0.10701,0.216091,0.008378,0.012256,0.012256,1.0,0.283333,9.650819,0.0
0.042917,0.999912,7,9.830202,1.0,0.072413,0.072413,0.999917,0.999912,5.148384,5.148384,1.0,0.114258,0.114258,0.231668,0.009452,0.012993,0.012993,1.0,0.283333,9.382412,0.0
0.0475,0.999963,8,9.653067,1.0,0.08216,0.08216,0.999965,0.999963,6.527221,6.527221,1.0,0.132082,0.132082,0.262977,0.010674,0.014642,0.014642,1.0,0.283333,9.093812,0.0
0.051667,0.999961,9,9.540595,1.0,0.086598,0.086598,0.999963,0.99996,7.698233,7.698232,1.0,0.146366,0.146366,0.277049,0.011304,0.01614,0.01614,1.0,0.283333,8.895488,0.0
0.055,0.999925,10,9.450835,1.0,0.088546,0.088546,0.99993,0.999924,8.139143,8.139143,1.0,0.152952,0.152952,0.283,0.011669,0.017263,0.017263,1.0,0.283333,8.718762,0.0
