domain,dataset,model,metric_name,direction,seeds,base_mean,base_std,generic_qk_warrant_mean,generic_qk_warrant_std,open_path_no_gate_mean,open_path_no_gate_std,correct_path_warrant_mean,correct_path_warrant_std,shuffled_pairing_mean,shuffled_pairing_std,path_reach_mean,path_reach_std,correct_over_generic_mean,correct_over_generic_std,correct_over_shuffled_mean,correct_over_shuffled_std,correct_over_open_path_mean,correct_over_open_path_std,open_path_over_base_mean,open_path_over_base_std,path_reach_rel_signed_mean,path_reach_rel_signed_std,correct_over_generic_rel_signed_mean,correct_over_generic_rel_signed_std,correct_over_shuffled_rel_signed_mean,correct_over_shuffled_rel_signed_std,correct_over_open_path_rel_signed_mean,correct_over_open_path_rel_signed_std,path_reach_rel_mean,path_reach_rel_std,correct_over_generic_rel_mean,correct_over_generic_rel_std,correct_over_shuffled_rel_mean,correct_over_shuffled_rel_std,correct_over_open_path_rel_mean,correct_over_open_path_rel_std,seed_need_score_raw_mean,seed_need_score_raw_std,need_score_raw_mean,warrant_need_score,warrant_need_score_minmax,warrant_need_tier,main_rows,main_mean_improvement,main_mean_relative_pct,main_win_rate,substantial_rate,drop_rate
ctdg,lastfm,DyGFormer,auc,higher,3,0.7676486666666666,0.0027984012102151303,0.7663643333333333,0.005997951678142564,0.853233,0.007071320385896802,0.855364,0.0035804721755656435,0.7223446666666666,0.030816236002038463,0.08771533333333337,0.006377518822656138,0.0889996666666667,0.0028086395876533404,0.13301933333333335,0.0341259933823666,0.002130999999999994,0.004691582568814043,0.08558433333333337,0.009522482939513903,0.11428616529407226,0.008733081853297913,0.1159325489058346,0.0033556178311500906,0.1733820754300556,0.04500925130652629,0.002768750404356133,0.006112703471030363,0.11428616529407226,0.008733081853297913,0.1159325489058346,0.0033556178311500906,0.1733820754300556,0.04500925130652629,0.002768750404356133,0.0050895182452141375,0.11287216596352598,0.013409182463148919,0.11274412649755125,0.11274412649755125,0.19521051280290555,strong,9,0.026112185185185155,2.896035046536811,1.0,0.6666666666666666,0.0
mtpp,retweets,AttNHP,mark_mrr,higher,3,0.763134,0.007637599426521418,0.768316,0.0030437462114966457,0.762188,0.013802120525484468,0.762188,0.013802120525484468,0.7243850000000001,0.004811399692397191,-0.0009460000000000024,0.016227265049909085,-0.006127999999999985,0.01109485885444241,0.037802999999999996,0.018613442158827008,0.0,0.0,-0.0009460000000000024,0.016227265049909085,-0.0011639267832879974,0.021368012602558176,-0.008034257245186704,0.014533469516702386,0.04955222956630475,0.02445530428161144,0.0,0.0,0.0,0.011879839590181464,0.0,0.0006075013633657521,0.04955222956630475,0.02445530428161144,0.0,0.0,0.014876332665356554,0.00917432705880341,0.012388057391576187,0.012388057391576187,0.020801188194417747,weak,6,0.00024827777777778357,0.027680655323398053,0.5,0.0,0.5
rag,hotpotqa,FiD,support_mrr,higher,3,0.5562016666666667,0.011073345941192938,0.5565043333333334,0.012448410233171678,0.5561823333333333,0.011594763918827055,0.556617,0.012245687934942665,0.5570513333333333,0.01232437456154812,0.0004153333333333231,0.0015474034164797833,0.0001126666666666128,0.0010920761572955056,-0.0004343333333333514,0.0006333690340815148,0.00043466666666665726,0.00070181217810276,-1.9333333333334164e-05,0.0008999079582564562,0.0007196690736892041,0.0028027898966195546,0.00020830163829447404,0.0019487892238383465,-0.0007784594559692645,0.001128126043503687,0.0007665437614977227,0.001261915400045218,0.0007196690736892041,0.0015970195115604675,0.00020830163829447404,0.0013492443903172196,0.0,0.00027544052787749845,0.0007665437614977227,0.0008650556535490793,0.0009079129679264918,0.0010446312248952466,0.0004189411495894984,0.0004189411495894984,0.0,negligible,2,0.00102816666666665,0.15701285939391296,1.0,0.0,0.0
stpp,earthquake,DeepSTPP,rmse_location,lower,3,2.2414696666666667,0.010246994551249274,2.2265143333333333,0.022013434769098,2.2248246666666667,0.01784179621936476,2.2248246666666667,0.01784179621936476,3.081662666666667,0.035466951734443315,0.01664500000000002,0.021622602919167722,0.0016896666666667375,0.009207694680718572,0.8568380000000001,0.05283033237639163,0.0,0.0,0.01664500000000002,0.021622602919167722,0.007409110200060311,0.009651904737990548,0.0007662474531227164,0.004113084805714119,0.382249356632231,0.023129072508003473,0.0,0.0,0.007409110200060311,0.008171091300246751,0.0007662474531227164,0.0028560507087041073,0.382249356632231,0.023129072508003473,0.0,0.0,0.0989361135599785,0.008044407100860096,0.09834708959135953,0.09834708959135953,0.1701898288966756,moderate,6,0.029036277777777782,3.5570614591480143,0.8333333333333334,0.0,0.16666666666666666
tkg,gdelt,xERTE,mrr,higher,3,0.062267,0.012223190418217332,0.06245133333333334,0.01209224901882745,0.116198,0.0012540825331691693,0.11727533333333333,0.0013181416211216998,0.11454566666666667,0.0011991002182191951,0.05500833333333333,0.012870658776198418,0.054824,0.012754669772283409,0.002729666666666667,0.0009354278878317363,0.0010773333333333375,8.286334131166683e-05,0.05393099999999999,0.01287987744506911,0.938477127146845,0.42102689719436753,0.9350923253109539,0.41768355930750206,0.043691663754705325,0.011689497885305046,0.017742402445647232,0.0034944188868926114,0.938477127146845,0.42102689719436753,0.9350923253109539,0.41768355930750206,0.043691663754705325,0.011689497885305046,0.017742402445647232,0.0034944188868926114,0.5758243521346575,0.2519020133096698,0.5758243521346575,0.5758243521346575,1.0,very_high,9,0.006182370370370341,4.247583209407702,0.8888888888888888,0.4444444444444444,0.1111111111111111
