accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.54175,0.566851,2.956426,1.0,1,0.750748,0.84583,0.566851,0.781367,2.585345
0.57125,0.595762,2.937398,1.0,2,0.721591,0.853735,0.595762,0.721686,2.771045
0.592,0.631212,2.890728,1.0,3,0.691873,0.869758,0.631212,0.684463,3.31419
0.6115,0.662326,2.741489,1.0,4,0.660358,0.882532,0.662326,0.663609,4.243122
0.64125,0.696331,2.47114,1.0,5,0.632301,0.886757,0.696331,0.634283,5.060266
0.68225,0.746999,2.089559,1.0,6,0.593922,0.888515,0.746999,0.605561,5.941502
0.71775,0.787666,1.832607,1.0,7,0.556018,0.889376,0.787666,0.572638,7.38808
0.7255,0.814445,1.842078,1.0,8,0.534562,0.88944,0.814445,0.548379,8.173088
0.75825,0.841597,2.019299,1.0,9,0.494177,0.889592,0.841597,0.519329,9.2716
0.78675,0.863587,2.053256,1.0,10,0.46246,0.889631,0.863587,0.494079,10.120543
