accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.096096,0.044759,13.096096,1.086113,0.024993,0.024993,0.052961,0.036831,0.025505,0.015828,0.013155,13.010177,0.133484
0.0,2,13.10709,0.044729,13.10709,0.970715,0.025289,0.025289,0.052961,0.036907,0.025808,0.016005,0.01367,12.598795,0.1329
0.0,3,13.351715,0.044889,13.351715,0.697681,0.026984,0.026984,0.052961,0.037701,0.027545,0.016958,0.016268,12.178901,0.136139
0.000569,4,13.464069,0.044991,13.464069,0.753781,0.033395,0.033395,0.052961,0.044133,0.033788,0.026367,0.022658,11.770407,0.138316
0.001139,5,14.138567,0.045145,14.138567,0.693686,0.029857,0.029857,0.052961,0.04102,0.030298,0.021981,0.018694,11.303423,0.141807
0.001139,6,14.880766,0.045365,14.880766,0.752126,0.032995,0.032995,0.052961,0.043679,0.033484,0.024259,0.022312,10.739015,0.147247
0.000569,7,15.806574,0.045694,15.806574,0.73441,0.032266,0.032266,0.052961,0.042453,0.032944,0.020148,0.02208,10.0926,0.156704
0.000569,8,16.966064,0.046091,16.966064,0.673511,0.042287,0.042287,0.052961,0.052764,0.042563,0.037348,0.03181,9.28951,0.171258
0.0,9,17.939482,0.046573,17.939482,0.701821,0.041097,0.041097,0.052961,0.051764,0.041373,0.03616,0.030429,8.426036,0.197673
0.0,10,20.189537,0.046998,20.189537,0.674919,0.041093,0.041093,0.052961,0.052388,0.041586,0.032287,0.029799,7.460038,0.245282
