domain,dataset,model,variant,seeds,tkg_true_tail_seen_rate_mean,tkg_mrr_seen_mean,tkg_mrr_unseen_mean,tkg_true_copy_retention_mean,tkg_false_copy_retention_mean,tkg_copy_saturation_attention_mean,tkg_copy_saturation_warrant_mean,tkg_copy_gate_mean_seen_mean,tkg_copy_gate_mean_unseen_mean
tkg,icews18,CyGNet,base,3,0.283333,0.284134,0.011455333333333333,1.0,1.0,8.093095333333332,8.093095333333332,0.9999373333333333,0.999931
tkg,icews18,CyGNet,correct_path_warrant,3,0.283333,0.282282,0.011485,0.9999326666666667,1.0003743333333333,8.528958333333334,8.537455666666668,0.9999293333333333,0.9999223333333335
tkg,icews18,CyGNet,generic_qk_warrant,3,0.283333,0.282282,0.011485,0.9999326666666667,1.0003743333333333,8.528961333333333,8.537458333333333,0.9999293333333333,0.9999223333333335
tkg,icews18,CyGNet,open_path_no_gate,3,0.283333,0.284134,0.011455333333333333,1.0,1.0,8.093091,8.093091,0.9999373333333333,0.999931
tkg,icews18,CyGNet,shuffled_pairing,3,0.283333,0.18652433333333332,0.0006573333333333332,0.999966,1.0004003333333333,10.230235,10.240252,0.9999256666666666,0.999924
