accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.54675,0.579386,1,0.741413,1.0,0.579386,0.768669,0.0
0.5825,0.615992,2,0.704569,1.0,0.615992,0.70147,0.0
0.579,0.632809,3,0.683562,1.0,0.632809,0.670316,0.0
0.60025,0.655302,4,0.664844,1.0,0.655302,0.644241,0.0
0.607,0.665057,5,0.654473,1.0,0.665057,0.620367,0.0
0.6295,0.696133,6,0.630862,1.0,0.696133,0.594895,0.0
0.659,0.727638,7,0.60205,1.0,0.727638,0.572586,0.0
0.658,0.730661,8,0.597407,1.0,0.730661,0.549367,0.0
0.67375,0.75041,9,0.586935,1.0,0.75041,0.53129,0.0
0.696,0.768222,10,0.567571,1.0,0.768222,0.512833,0.0
