epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.996063,0.938726,9.996063,0.284303,2.283419,2.283419,3.671444,2.862656
2,9.931802,0.938897,9.931802,0.593851,2.272235,2.272235,3.532473,2.866318
3,9.661695,0.939141,9.661695,0.415219,2.262481,2.262481,3.507949,2.871642
4,9.515264,0.939276,9.515264,0.244678,2.253199,2.253199,3.474945,2.875324
5,9.641077,0.93918,9.641077,0.442737,2.245573,2.245573,3.462937,2.874352
6,9.675798,0.940054,9.675798,0.303118,2.250734,2.250734,3.447066,2.894529
7,9.593311,0.941066,9.593311,0.30182,2.252824,2.252824,3.433227,2.919015
8,9.518348,0.941982,9.518348,0.336214,2.257285,2.257285,3.41945,2.942227
9,9.55178,0.942729,9.55178,0.259015,2.251246,2.251246,3.406858,2.959797
10,9.541882,0.94338,9.541882,0.264236,2.23224,2.23224,3.393231,2.974761
