accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5565,0.575143,2.94745,0.951702,1,0.742397,1.0,0.575143,0.770725,0.0
0.58475,0.621687,2.935946,0.959005,2,0.704881,1.0,0.621687,0.699013,0.0
0.59325,0.649483,2.856984,0.971309,3,0.675163,1.0,0.649483,0.66723,0.0
0.622,0.681875,2.70023,0.985124,4,0.647831,1.0,0.681875,0.633274,0.0
0.648,0.715015,2.390592,0.995008,5,0.615995,1.0,0.715015,0.599435,0.0
0.68425,0.754606,2.050513,0.998831,6,0.580892,1.0,0.754606,0.571807,0.0
0.714,0.790431,1.832402,0.999737,7,0.544829,1.0,0.790431,0.540172,0.0
0.7385,0.819167,1.768403,0.999926,8,0.523908,1.0,0.819167,0.511222,0.0
0.76375,0.840905,1.821785,0.999972,9,0.49176,1.0,0.840905,0.487022,0.0
0.7775,0.8548,2.030663,0.999986,10,0.476248,1.0,0.8548,0.46541,0.0
