accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.56925,0.603438,1,0.722443,1.0,0.603438,0.746149,0.0
0.589689,0.627096,2,0.703718,1.0,0.627096,0.67878,0.0
0.623246,0.666509,3,0.662909,1.0,0.666509,0.654215,0.0
0.64094,0.70248,4,0.627803,1.0,0.70248,0.606178,0.0
0.659243,0.737707,5,0.607199,1.0,0.737707,0.573076,0.0
0.687004,0.758555,6,0.586085,1.0,0.758555,0.539709,0.0
0.688835,0.772695,7,0.574506,1.0,0.772695,0.50971,0.0
0.698597,0.778443,8,0.569257,1.0,0.778443,0.476059,0.0
0.701952,0.78721,9,0.56027,1.0,0.78721,0.446598,0.0
0.716901,0.800854,10,0.575516,1.0,0.800854,0.421154,0.0
