epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.308346,0.998291,4.308346,0.411167,0.923943,0.923943,4.573381,2.96977
2,4.584729,0.998291,4.584729,0.404935,1.387042,1.387042,4.311419,2.741976
3,4.211124,0.998291,4.211124,0.432994,1.085554,1.085554,4.228984,2.801717
4,4.111341,0.998291,4.111341,0.376009,0.984897,0.984897,4.202445,2.859113
5,4.15967,0.998291,4.15967,0.348291,1.112043,1.112043,4.163161,2.664866
6,4.099006,0.998291,4.099006,0.386795,1.040311,1.040311,4.131572,2.627338
7,3.936413,0.998291,3.936413,0.342552,0.840984,0.840984,4.096881,2.681945
8,3.990431,0.998291,3.990431,0.330659,0.997066,0.997066,4.056444,2.462821
9,3.999543,0.998291,3.999543,0.329207,1.036003,1.036003,4.040549,2.343701
10,4.449814,0.998291,4.449814,0.338289,1.378302,1.378302,4.017919,1.033767
11,3.908201,0.998291,3.908201,0.31541,0.933635,0.933635,3.992125,2.030437
12,3.956416,0.998291,3.956416,0.319306,1.063936,1.063936,3.956248,1.425135
13,4.153679,0.998291,4.153679,0.332648,1.218438,1.218438,3.93347,0.446449
14,3.912837,0.998291,3.912837,0.352106,1.058892,1.058892,3.918764,0.02964
15,3.883957,0.998291,3.883957,0.371975,1.012734,1.012734,3.877522,0.061722
16,3.74904,0.998291,3.74904,0.3092,0.932895,0.932895,3.866356,-0.281674
17,3.769224,0.998291,3.769224,0.337762,0.945299,0.945299,3.830694,-0.611667
18,3.738714,0.998291,3.738714,0.334565,0.953735,0.953735,3.811648,-1.842288
19,3.886191,0.998291,3.886191,0.316914,1.081434,1.081434,3.800886,-3.327683
20,3.759671,0.998291,3.759671,0.332111,0.991205,0.991205,3.748132,-3.152496
21,3.761759,0.998291,3.761759,0.328284,0.992928,0.992928,3.741054,-3.964502
22,3.84412,0.998291,3.84412,0.309262,1.091526,1.091526,3.741968,-6.402522
23,3.772264,0.998291,3.772264,0.309836,1.091721,1.091721,3.688699,-7.85814
24,3.677417,0.998291,3.677417,0.322344,1.039584,1.039584,3.660606,-6.935749
25,3.73567,0.998291,3.73567,0.312638,1.126681,1.126681,3.649224,-9.047048
26,3.838973,0.998291,3.838973,0.32282,1.183142,1.183142,3.624415,-9.76398
27,3.57654,0.998291,3.57654,0.330205,0.98018,0.98018,3.589873,-8.228821
28,3.642567,0.998291,3.642567,0.308531,1.064028,1.064028,3.572191,-10.361646
29,3.877686,0.998291,3.877686,0.318774,1.252401,1.252401,3.556734,-12.280125
30,3.574417,0.998291,3.574417,0.305108,1.02111,1.02111,3.526559,-11.149368
