accuracy,dataset,domain,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,mae_time,mark_mrr,model,primary_metric,seed,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
0.4556701030927835,retweets,mtpp,AttNHP,0.074,1,25.446592330932617,0.12666812539100647,2404.3579648921786,0.717182131219156,AttNHP,0.717182131219156,7,0.1695593148469925,84.8669548034668,0.515109583735466,warrant,1.0,0.38428962230682373,0.0
0.5278350515463918,retweets,mtpp,AttNHP,0.147,2,25.16931915283203,0.12668772041797638,2404.1159551594674,0.7532646054459601,AttNHP,0.7532646054459601,7,0.16916608065366745,85.22433090209961,0.5129594206809998,warrant,1.0,0.3846782147884369,0.0
0.4865979381443299,retweets,mtpp,AttNHP,0.22,3,24.97337532043457,0.12668946385383606,2404.034348299331,0.7300687293109206,AttNHP,0.7300687293109206,7,0.16953348368406296,84.75471115112305,0.5146744102239609,warrant,1.0,0.38475850224494934,0.0
0.465979381443299,retweets,mtpp,AttNHP,0.293,4,25.02859115600586,0.12669438123703003,2403.9035451331088,0.7219931278032126,AttNHP,0.7219931278032126,7,0.1691684052348137,84.54737854003906,0.5133970081806183,warrant,1.0,0.38490238785743713,0.0
0.5484536082474227,retweets,mtpp,AttNHP,0.366,5,24.918737411499023,0.12673230469226837,2403.632297557654,0.7637457050920762,AttNHP,0.7637457050920762,7,0.1692713052034378,84.49468612670898,0.513968288898468,warrant,1.0,0.3856697976589203,0.0
0.5360824742268041,retweets,mtpp,AttNHP,0.439,6,24.91619110107422,0.12676462531089783,2403.2387618877224,0.7573883167861664,AttNHP,0.7573883167861664,7,0.1693871021270752,84.69632720947266,0.5152766406536102,warrant,1.0,0.3863515853881836,0.0
0.5412371134020618,retweets,mtpp,AttNHP,0.513,7,24.889822006225586,0.1267649382352829,2402.761545323588,0.7599656363737952,AttNHP,0.7599656363737952,7,0.16915961354970932,84.53132629394531,0.5150949954986572,warrant,1.0,0.3864067792892456,0.0
0.5412371134020618,retweets,mtpp,AttNHP,0.586,8,24.878828048706055,0.12674592435359955,2402.2552205136144,0.7599656363737952,AttNHP,0.7599656363737952,7,0.16917937248945236,84.56581115722656,0.5148354172706604,warrant,1.0,0.3860726058483124,0.0
0.5484536082474227,retweets,mtpp,AttNHP,0.659,9,24.884138107299805,0.1267278790473938,2401.7451051001694,0.7639175263876767,AttNHP,0.7639175263876767,7,0.16902603209018707,84.58120346069336,0.5138488709926605,warrant,1.0,0.38572272658348083,0.0
0.5608247422680412,retweets,mtpp,AttNHP,0.732,10,24.88536262512207,0.1267193704843521,2401.114177343403,0.7668384887815751,AttNHP,0.7668384887815751,7,0.16941823810338974,84.5052261352539,0.51468425989151,warrant,1.0,0.38555455207824707,0.0
