accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5395,0.56476,2.955211,0.950161,1,0.752303,1.0,0.56476,0.782366,0.0
0.5615,0.595193,2.935672,0.949708,2,0.72102,1.0,0.595193,0.720759,0.0
0.59725,0.630552,2.892268,0.944561,3,0.69068,1.0,0.630552,0.684465,0.0
0.61325,0.661371,2.746026,0.92562,4,0.660451,1.0,0.661371,0.660486,0.0
0.644,0.696064,2.479475,0.878868,5,0.632609,1.0,0.696064,0.633027,0.0
0.679,0.747664,2.117451,0.766234,6,0.592422,1.0,0.747664,0.603522,0.0
0.7145,0.7894,1.891293,0.550143,7,0.554111,1.0,0.7894,0.570133,0.0
0.727,0.818991,1.96173,0.295214,8,0.530986,1.0,0.818991,0.544809,0.0
0.7665,0.847471,2.141559,0.205503,9,0.48653,1.0,0.847471,0.515215,0.0
0.77775,0.868312,2.246066,0.122426,10,0.470609,1.0,0.868312,0.484334,0.0
