accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.845028,1,15.113955,0.95082,0.000405,0.000405,0.84704,0.848131,3.020278,3.020539,1.000087,0.0744,0.074407,0.000507,0.000365,0.009367,0.009368,1.000029,0.283333,18.863034,2.907828
0.0,0.979601,2,13.334503,0.956411,0.000556,0.000556,0.980011,0.980019,3.669624,3.672019,1.000384,0.087388,0.087425,0.000918,0.000413,0.010274,0.010277,1.000029,0.283333,14.131885,3.034858
0.000417,0.998848,3,11.99718,0.97137,0.002929,0.002929,0.998863,0.99886,6.492636,6.514251,1.001028,0.115535,0.115658,0.009175,0.000459,0.01185,0.011856,0.999592,0.283333,12.326115,3.474172
0.024167,0.999977,4,10.833298,0.992194,0.049838,0.049838,0.999977,0.999977,17.137613,17.246986,1.000662,0.145825,0.145922,0.175043,0.000338,0.013648,0.013653,0.999381,0.283333,10.879774,4.827016
0.0225,0.999986,5,10.590348,0.995454,0.051678,0.051678,0.999986,0.999986,7.711109,7.735365,1.000522,0.124284,0.124353,0.181609,0.00031,0.012698,0.012702,0.999851,0.283333,10.196179,5.374938
0.02125,0.99991,6,10.40363,0.992252,0.047311,0.047311,0.999913,0.999912,5.215292,5.22489,1.000776,0.110233,0.110327,0.166178,0.000317,0.011642,0.011648,1.000035,0.283333,9.728444,4.820873
0.02125,0.999906,7,10.22645,0.993267,0.04839,0.04839,0.999909,0.999908,5.818436,5.828742,1.000808,0.117542,0.117646,0.169905,0.000349,0.012008,0.012015,1.000025,0.283333,9.456638,4.968842
0.02375,0.999961,8,10.038207,0.995837,0.053494,0.053494,0.999962,0.999962,7.462938,7.475395,1.000639,0.135126,0.135218,0.187848,0.000378,0.013032,0.013038,0.999964,0.283333,9.158305,5.471506
0.025417,0.999955,9,9.952712,0.996049,0.055474,0.055474,0.999956,0.999955,8.676287,8.69193,1.000667,0.146765,0.146866,0.194781,0.0004,0.013562,0.013568,0.999949,0.283333,8.970841,5.539588
0.02375,0.999914,10,9.92686,0.995262,0.053115,0.053115,0.999916,0.999915,9.2556,9.275071,1.000791,0.151988,0.15211,0.186363,0.000436,0.013672,0.013679,0.999945,0.283333,8.791313,5.367904
