accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5435,0.567139,1.469084,0.372208,1,0.750233,1.0,0.567139,0.781167,0.0
0.57625,0.595177,1.765626,0.478958,2,0.721672,1.0,0.595177,0.721591,0.0
0.59075,0.629402,2.183313,0.653363,3,0.692943,1.0,0.629402,0.684749,0.0
0.60875,0.659068,2.286296,0.750122,4,0.662649,1.0,0.659068,0.664295,0.0
0.6375,0.690429,2.069455,0.755246,5,0.636261,1.0,0.690429,0.635497,0.0
0.6745,0.740572,1.716828,0.753695,6,0.598659,1.0,0.740572,0.607316,0.0
0.71275,0.779135,1.493047,0.792721,7,0.564324,1.0,0.779135,0.575691,0.0
0.72525,0.803079,1.353184,0.813925,8,0.538992,1.0,0.803079,0.552969,0.0
0.7485,0.829922,1.32875,0.802273,9,0.507698,1.0,0.829922,0.527541,0.0
0.775,0.85553,1.411104,0.820603,10,0.474485,1.0,0.85553,0.499859,0.0
