accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,15.073514,0.163494,15.073514,1.088598,1.648005,1.648005,0.0,2.54457,1.648005,0.751439,13.011552,0.496712
0.0,2,15.096593,0.163419,15.096593,0.971148,1.645131,1.645131,0.0,2.540056,1.645131,0.750206,12.600308,0.495155
0.0,3,15.349716,0.16321,15.349716,0.713768,1.648795,1.648795,0.0,2.546193,1.648795,0.751396,12.17188,0.490865
0.0,4,15.49696,0.162894,15.49696,0.77627,1.644461,1.644461,0.0,2.538829,1.644461,0.750094,11.757254,0.484629
0.000569,5,16.166174,0.162593,16.166174,0.732827,1.643552,1.643552,0.0,2.538012,1.643552,0.749091,11.293588,0.478959
0.000569,6,16.987978,0.162261,16.987978,0.78966,1.651061,1.651061,0.0,2.549097,1.651061,0.753026,10.722503,0.472844
0.0,7,17.931025,0.16244,17.931025,0.797282,1.654699,1.654699,0.0,2.554902,1.654699,0.754495,10.089077,0.476601
0.0,8,19.178259,0.161966,19.178259,0.769699,1.645433,1.645433,0.0,2.541554,1.645433,0.749312,9.290622,0.468596
0.0,9,20.070196,0.162261,20.070196,0.795558,1.640921,1.640921,0.0,2.534861,1.640921,0.746982,8.437151,0.475582
0.0,10,22.327669,0.161792,22.327669,0.763863,1.618859,1.618859,0.0,2.499689,1.618859,0.738028,7.478969,0.471037
