accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.58175,0.609668,2.062564,0.598606,1,0.716904,1.0,0.609668,0.759285,0.0
0.59275,0.628752,2.400697,0.744123,2,0.696379,1.0,0.628752,0.703482,0.0
0.61425,0.654112,2.473929,0.810842,3,0.675885,1.0,0.654112,0.671755,0.0
0.615,0.677401,2.261457,0.809846,4,0.648739,1.0,0.677401,0.638174,0.0
0.66175,0.720317,1.96188,0.816269,5,0.6154,1.0,0.720317,0.604521,0.0
0.686,0.758633,1.726352,0.827805,6,0.57956,1.0,0.758633,0.574929,0.0
0.71525,0.785116,1.601458,0.867161,7,0.55628,1.0,0.785116,0.544829,0.0
0.72425,0.806097,1.673292,0.881318,8,0.53502,1.0,0.806097,0.524365,0.0
0.7565,0.831782,1.753788,0.895999,9,0.501355,1.0,0.831782,0.49502,0.0
0.7545,0.845226,1.953942,0.901927,10,0.500447,1.0,0.845226,0.468961,0.0
