accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.092115,0.044766,13.092115,1.087793,0.028249,0.028249,0.052961,0.039475,0.028757,0.019174,0.017024,12.996518,0.133618
0.000569,2,13.09107,0.044732,13.09107,0.981713,0.023326,0.023326,0.052961,0.035053,0.023828,0.014347,0.011599,12.609039,0.132952
0.001139,3,13.322487,0.044881,13.322487,0.690728,0.024771,0.024771,0.052961,0.036085,0.025207,0.016972,0.013457,12.18538,0.135967
0.001139,4,13.472512,0.045006,13.472512,0.750193,0.023753,0.023753,0.052961,0.035019,0.024275,0.014409,0.012486,11.772958,0.13864
0.001139,5,14.142275,0.045185,14.142275,0.682508,0.026793,0.026793,0.052961,0.037695,0.027347,0.016898,0.015892,11.298003,0.142735
0.000569,6,14.825455,0.045423,14.825455,0.750087,0.031132,0.031132,0.052961,0.042133,0.031557,0.023542,0.020131,10.721099,0.148764
0.000569,7,15.832273,0.04576,15.832273,0.693364,0.039422,0.039422,0.052961,0.04885,0.039806,0.032559,0.029994,10.06688,0.158904
0.000569,8,16.642435,0.046137,16.642435,0.668065,0.035662,0.035662,0.052961,0.046175,0.036138,0.027157,0.025149,9.294683,0.173838
0.000569,9,18.228498,0.046672,18.228498,0.685669,0.040778,0.040778,0.052961,0.050222,0.0412,0.033233,0.031334,8.427276,0.207883
0.000569,10,19.97114,0.047013,19.97114,0.663362,0.04888,0.04888,0.052961,0.058571,0.049398,0.039628,0.03919,7.474583,0.256417
