domain,examples,oracle_headroom,attention_shapley_spearman,top_attention_harmful,harmful_item_fraction,sign_reversal_fraction,mean_marginal_spread,mean_abs_pair_interaction,max_abs_pair_interaction,mean_abs_loo_shapley_gap,base_primary,oracle_primary,directional_oracle_gain
ctdg,384,0.037681709164947584,0.09407635563937267,0.4348958333333333,0.4270833333333333,0.1416666666666667,0.01138595961529063,0.0027322459838615026,0.0070028891107843565,0.004699927469450308,0.7928873697916666,0.8295084635416666,0.03662109375
mtpp,384,0.05163769113520781,0.018934395671628038,0.4505208333333333,0.4470920138888889,0.06024305555555556,0.0055609788085954895,0.0035809346089889812,0.0046642265903453035,0.002598297488013352,0.7026909733346353,0.7157118065903584,0.013020833255723119
rag,384,0.22485956363379955,-0.08333333333333331,0.5416666666666666,0.4994791666666667,0.18489583333333334,0.05328128994442522,0.013657709170123175,0.04415441114300241,0.016079224641693552,0.5502604190260172,0.5927951411576942,0.04253472213167697
stpp,384,0.00920331068239951,0.08333333333333333,0.5,0.421875,0.034895833333333334,0.00033232848897265887,8.194724177883473e-05,0.00015813924740844718,0.00017713740723492174,0.8362749170094806,0.8270716063270811,0.009203310682399546
tkg,384,0.0211913101375103,-0.009895833333333326,0.5442708333333334,0.5359375000000001,0.0234375,0.0017585041622320812,0.0004384386197974284,0.0007819688568512598,0.0008302439500888192,0.06286142636383829,0.06300345321722034,0.000142026853382049
