epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.308333,0.950859,4.308333,0.411146,0.923893,0.923893,4.573401,2.939112
2,4.57984,0.950839,4.57984,0.4044,1.383931,1.383931,4.311295,2.938678
3,4.210064,0.950807,4.210064,0.433225,1.084175,1.084175,4.229156,2.937966
4,4.10557,0.950763,4.10557,0.374817,0.977207,0.977207,4.202743,2.936991
5,4.147143,0.950742,4.147143,0.348883,1.098717,1.098717,4.163292,2.936534
6,4.098652,0.950679,4.098652,0.386576,1.039669,1.039669,4.130866,2.935127
7,3.937485,0.950591,3.937485,0.339667,0.832157,0.832157,4.09785,2.933189
8,4.003644,0.950534,4.003644,0.3352,1.011605,1.011605,4.056553,2.931948
9,4.008689,0.950492,4.008689,0.331571,1.045986,1.045986,4.039237,2.931009
10,4.453259,0.950469,4.453259,0.338571,1.377462,1.377462,4.017905,2.930511
11,3.911178,0.95037,3.911178,0.315519,0.937813,0.937813,3.991899,2.928336
12,3.959826,0.950343,3.959826,0.323583,1.0654,1.0654,3.9562,2.927746
13,4.148101,0.950299,4.148101,0.334601,1.213562,1.213562,3.93347,2.926775
14,3.911578,0.950252,3.911578,0.352522,1.054957,1.054957,3.919213,2.925745
15,3.885562,0.950204,3.885562,0.370038,1.010933,1.010933,3.877112,2.9247
16,3.744806,0.950111,3.744806,0.309031,0.929521,0.929521,3.866507,2.922675
17,3.770037,0.950027,3.770037,0.335076,0.945875,0.945875,3.830157,2.920829
18,3.738705,0.949918,3.738705,0.333254,0.951931,0.951931,3.811681,2.918464
19,3.872862,0.949869,3.872862,0.315087,1.074062,1.074062,3.800968,2.917409
20,3.759225,0.949787,3.759225,0.329451,0.990598,0.990598,3.747972,2.915619
21,3.761553,0.949668,3.761553,0.327611,0.989179,0.989179,3.741243,2.913039
22,3.84241,0.949572,3.84241,0.310105,1.090776,1.090776,3.741366,2.910962
23,3.766141,0.94954,3.766141,0.309169,1.08793,1.08793,3.688391,2.91027
24,3.683586,0.949469,3.683586,0.323224,1.044248,1.044248,3.660264,2.908753
25,3.753387,0.94942,3.753387,0.311256,1.139772,1.139772,3.649092,2.907687
26,3.837593,0.949458,3.837593,0.323091,1.178993,1.178993,3.62352,2.90851
27,3.574603,0.949288,3.574603,0.330416,0.974036,0.974036,3.589581,2.904864
28,3.611853,0.949242,3.611853,0.303646,1.039671,1.039671,3.571927,2.903873
29,3.871354,0.949333,3.871354,0.319509,1.241937,1.241937,3.557612,2.905831
30,3.577587,0.949173,3.577587,0.307783,1.015311,1.015311,3.526139,2.902401
