distractor_warrant_mass,sample_id,support_attention_mass,support_present,support_warrant_mass
0.8326842784881592,6553,0.1673157513141632,True,0.1673157513141632
0.7708108425140381,6554,0.2291892021894455,True,0.2291892021894455
0.8168911337852478,6555,0.1831088811159134,True,0.1831088811159134
0.804397463798523,6556,0.19560247659683228,True,0.19560247659683228
0.8124906420707703,6557,0.18750935792922974,True,0.18750935792922974
0.8304334878921509,6558,0.1695665419101715,True,0.1695665419101715
0.551988422870636,6559,0.448011577129364,True,0.448011577129364
0.6709282994270325,6560,0.32907167077064514,True,0.32907167077064514
0.882287859916687,6561,0.11771210283041,True,0.11771210283041
0.6452778577804565,6562,0.35472220182418823,True,0.35472220182418823
0.6453491449356079,6563,0.3546507954597473,True,0.3546507954597473
0.8544583916664124,6564,0.14554160833358765,True,0.14554160833358765
0.8363507986068726,6565,0.16364920139312744,True,0.16364920139312744
0.8060548305511475,6566,0.19394519925117493,True,0.19394519925117493
0.6948990821838379,6567,0.3051009178161621,True,0.3051009178161621
0.8676596879959106,6568,0.13234031200408936,True,0.13234031200408936
0.8416300415992737,6569,0.15836988389492035,True,0.15836988389492035
0.45379480719566345,6570,0.5462051630020142,True,0.5462051630020142
0.7822521924972534,6571,0.21774782240390778,True,0.21774782240390778
0.8301988840103149,6572,0.16980114579200745,True,0.16980114579200745
0.8253562450408936,6573,0.17464378476142883,True,0.17464378476142883
0.8485513925552368,6574,0.15144868195056915,True,0.15144868195056915
0.2263307422399521,6575,0.7736692428588867,True,0.7736692428588867
0.8076221942901611,6576,0.1923777014017105,True,0.1923777014017105
0.8409420847892761,6577,0.15905790030956268,True,0.15905790030956268
0.8626372814178467,6578,0.13736270368099213,True,0.13736270368099213
0.7117578983306885,6579,0.2882421612739563,True,0.2882421612739563
0.6861575841903687,6580,0.31384241580963135,True,0.31384241580963135
0.7831587791442871,6581,0.2168412059545517,True,0.2168412059545517
0.6174752712249756,6582,0.38252466917037964,True,0.38252466917037964
0.8881539106369019,6583,0.11184610426425934,True,0.11184610426425934
0.8505896925926208,6584,0.14941029250621796,True,0.14941029250621796
0.4475191831588745,6585,0.5524808168411255,True,0.5524808168411255
0.6772406101226807,6586,0.32275938987731934,True,0.32275938987731934
0.8843657374382019,6587,0.11563419550657272,True,0.11563419550657272
0.7533400058746338,6588,0.24665991961956024,True,0.24665991961956024
0.3440804183483124,6589,0.6559195518493652,True,0.6559195518493652
0.8009052276611328,6590,0.1990947127342224,True,0.1990947127342224
0.5324021577835083,6591,0.4675978422164917,True,0.4675978422164917
0.7318992614746094,6592,0.268100768327713,True,0.268100768327713
0.6160289645195007,6593,0.38397109508514404,True,0.38397109508514404
0.765375018119812,6594,0.2346249222755432,True,0.2346249222755432
0.8320515155792236,6595,0.16794848442077637,True,0.16794848442077637
0.7907889485359192,6596,0.2092110812664032,True,0.2092110812664032
0.8790811896324158,6597,0.12091884762048721,True,0.12091884762048721
0.7518057227134705,6598,0.24819426238536835,True,0.24819426238536835
0.6132352948188782,6599,0.3867647051811218,True,0.3867647051811218
0.6343265175819397,6600,0.3656734526157379,True,0.3656734526157379
0.5276084542274475,6601,0.4723915457725525,True,0.4723915457725525
0.724854588508606,6602,0.27514541149139404,True,0.27514541149139404
0.5538093447685242,6603,0.44619062542915344,True,0.44619062542915344
0.8027881383895874,6604,0.1972118616104126,True,0.1972118616104126
0.7878109216690063,6605,0.21218915283679962,True,0.21218915283679962
0.7286682724952698,6606,0.2713317275047302,True,0.2713317275047302
0.7896638512611389,6607,0.21033619344234467,True,0.21033619344234467
0.738824188709259,6608,0.2611757814884186,True,0.2611757814884186
0.8085795044898987,6609,0.19142048060894012,True,0.19142048060894012
0.6378431916236877,6610,0.36215680837631226,True,0.36215680837631226
0.8509154319763184,6611,0.14908453822135925,True,0.14908453822135925
0.5768085718154907,6612,0.4231913983821869,True,0.4231913983821869
0.9145981669425964,6613,0.08540180325508118,True,0.08540180325508118
0.7596818208694458,6614,0.24031813442707062,True,0.24031813442707062
0.8140924572944641,6615,0.18590755760669708,True,0.18590755760669708
0.7512959241867065,6616,0.2487040013074875,True,0.2487040013074875
0.8046870231628418,6617,0.19531302154064178,True,0.19531302154064178
0.9113919138908386,6618,0.08860806375741959,True,0.08860806375741959
0.8617612719535828,6619,0.13823877274990082,True,0.13823877274990082
0.8882476687431335,6620,0.11175236850976944,True,0.11175236850976944
0.5591098070144653,6621,0.44089019298553467,True,0.44089019298553467
0.7327410578727722,6622,0.2672589421272278,True,0.2672589421272278
0.6109819412231445,6623,0.3890180289745331,True,0.3890180289745331
0.7405009269714355,6624,0.25949904322624207,True,0.25949904322624207
0.0,6625,0.9999999403953552,True,0.9999999403953552
0.5218913555145264,6626,0.478108674287796,True,0.478108674287796
0.9135541915893555,6627,0.08644586056470871,True,0.08644586056470871
0.8649346232414246,6628,0.13506539165973663,True,0.13506539165973663
0.8317139148712158,6629,0.16828614473342896,True,0.16828614473342896
0.8473351001739502,6630,0.15266482532024384,True,0.15266482532024384
0.6202057600021362,6631,0.37979423999786377,True,0.37979423999786377
0.8059940934181213,6632,0.19400593638420105,True,0.19400593638420105
0.6437153816223145,6633,0.35628464818000793,True,0.35628464818000793
0.6452043056488037,6634,0.3547956943511963,True,0.3547956943511963
0.8572095632553101,6635,0.14279046654701233,True,0.14279046654701233
0.583054780960083,6636,0.41694527864456177,True,0.41694527864456177
0.7760448455810547,6637,0.2239551693201065,True,0.2239551693201065
0.9122892618179321,6638,0.0877106711268425,True,0.0877106711268425
0.6248186230659485,6639,0.3751813769340515,True,0.3751813769340515
0.7254449725151062,6640,0.27455511689186096,True,0.27455511689186096
0.838588297367096,6641,0.16141170263290405,True,0.16141170263290405
0.7008695006370544,6642,0.29913049936294556,True,0.29913049936294556
0.7758755683898926,6643,0.2241244614124298,True,0.2241244614124298
0.7727112770080566,6644,0.2272886335849762,True,0.2272886335849762
0.6727206707000732,6645,0.32727935910224915,True,0.32727935910224915
0.7698308825492859,6646,0.23016904294490814,True,0.23016904294490814
0.8773781061172485,6647,0.12262193858623505,True,0.12262193858623505
0.7581385374069214,6648,0.24186155200004578,True,0.24186155200004578
0.8256499171257019,6649,0.17435014247894287,True,0.17435014247894287
0.49902042746543884,6650,0.5009795427322388,True,0.5009795427322388
0.7851542234420776,6651,0.2148457169532776,True,0.2148457169532776
0.8266192674636841,6652,0.17338071763515472,True,0.17338071763515472
0.7974662184715271,6653,0.2025337964296341,True,0.2025337964296341
0.48298346996307373,6654,0.5170164704322815,True,0.5170164704322815
0.8358117938041687,6655,0.16418810188770294,True,0.16418810188770294
0.5434620380401611,6656,0.4565379321575165,True,0.4565379321575165
0.7551312446594238,6657,0.24486882984638214,True,0.24486882984638214
0.8156439065933228,6658,0.18435607850551605,True,0.18435607850551605
0.6805954575538635,6659,0.3194045424461365,True,0.3194045424461365
0.7851700782775879,6660,0.21482990682125092,True,0.21482990682125092
0.5708589553833008,6661,0.42914098501205444,True,0.42914098501205444
0.7593411207199097,6662,0.24065887928009033,True,0.24065887928009033
0.8455478549003601,6663,0.1544521450996399,True,0.1544521450996399
0.887179970741272,6664,0.11282007396221161,True,0.11282007396221161
0.8393105268478394,6665,0.16068948805332184,True,0.16068948805332184
0.856379508972168,6666,0.14362046122550964,True,0.14362046122550964
0.7507889270782471,6667,0.24921104311943054,True,0.24921104311943054
0.6343799233436584,6668,0.36562013626098633,True,0.36562013626098633
0.8011854290962219,6669,0.19881457090377808,True,0.19881457090377808
0.7192448973655701,6670,0.28075510263442993,True,0.28075510263442993
0.7963564991950989,6671,0.20364348590373993,True,0.20364348590373993
0.6688777804374695,6672,0.33112215995788574,True,0.33112215995788574
0.8422809839248657,6673,0.15771901607513428,True,0.15771901607513428
0.6884241104125977,6674,0.31157588958740234,True,0.31157588958740234
0.6512758135795593,6675,0.34872421622276306,True,0.34872421622276306
0.6721690893173218,6676,0.3278309404850006,True,0.3278309404850006
0.7050812244415283,6677,0.2949187755584717,True,0.2949187755584717
0.6843655109405518,6678,0.31563448905944824,True,0.31563448905944824
0.8353106379508972,6679,0.16468936204910278,True,0.16468936204910278
0.6451844573020935,6680,0.3548154830932617,True,0.3548154830932617
0.7340985536575317,6681,0.26590147614479065,True,0.26590147614479065
0.6814010143280029,6682,0.31859898567199707,True,0.31859898567199707
0.8363617658615112,6683,0.1636381447315216,True,0.1636381447315216
0.8422211408615112,6684,0.15777882933616638,True,0.15777882933616638
0.5850871801376343,6685,0.4149128198623657,True,0.4149128198623657
0.8890529870986938,6686,0.11094701290130615,True,0.11094701290130615
0.8307280540466309,6687,0.16927188634872437,True,0.16927188634872437
0.5397260785102844,6688,0.4602739214897156,True,0.4602739214897156
0.8053860068321228,6689,0.19461403787136078,True,0.19461403787136078
0.8821223974227905,6690,0.11787759512662888,True,0.11787759512662888
0.6913740038871765,6691,0.3086259961128235,True,0.3086259961128235
0.8736585378646851,6692,0.12634149193763733,True,0.12634149193763733
0.6640682816505432,6693,0.3359317183494568,True,0.3359317183494568
0.7513405084609985,6694,0.24865947663784027,True,0.24865947663784027
0.842235803604126,6695,0.1577642560005188,True,0.1577642560005188
0.7880536913871765,6696,0.21194641292095184,True,0.21194641292095184
0.8476709127426147,6697,0.15232916176319122,True,0.15232916176319122
0.8880927562713623,6698,0.1119072288274765,True,0.1119072288274765
0.8803620338439941,6699,0.11963798850774765,True,0.11963798850774765
0.7225602865219116,6700,0.277439683675766,True,0.277439683675766
0.6607800722122192,6701,0.33921998739242554,True,0.33921998739242554
0.6106635332107544,6702,0.38933640718460083,True,0.38933640718460083
0.7597565650939941,6703,0.24024340510368347,True,0.24024340510368347
0.8105210065841675,6704,0.18947909772396088,True,0.18947909772396088
0.6654039025306702,6705,0.33459603786468506,True,0.33459603786468506
0.6428981423377991,6706,0.3571018874645233,True,0.3571018874645233
0.6746594905853271,6707,0.32534050941467285,True,0.32534050941467285
0.7084318399429321,6708,0.29156816005706787,True,0.29156816005706787
0.8684916496276855,6709,0.13150833547115326,True,0.13150833547115326
0.7807238698005676,6710,0.21927613019943237,True,0.21927613019943237
0.8732448816299438,6711,0.12675508856773376,True,0.12675508856773376
0.7063791155815125,6712,0.2936209440231323,True,0.2936209440231323
0.890792727470398,6713,0.10920724272727966,True,0.10920724272727966
0.7506632804870605,6714,0.24933664500713348,True,0.24933664500713348
0.559482991695404,6715,0.44051694869995117,True,0.44051694869995117
0.4540330171585083,6716,0.5459669828414917,True,0.5459669828414917
0.8192853331565857,6717,0.1807146966457367,True,0.1807146966457367
0.7057970762252808,6718,0.29420292377471924,True,0.29420292377471924
0.7444860935211182,6719,0.25551390647888184,True,0.25551390647888184
0.8582864999771118,6720,0.14171350002288818,True,0.14171350002288818
0.7210598587989807,6721,0.27894023060798645,True,0.27894023060798645
0.7856138348579407,6722,0.21438615024089813,True,0.21438615024089813
0.8917697668075562,6723,0.10823028534650803,True,0.10823028534650803
0.5912685394287109,6724,0.40873152017593384,True,0.40873152017593384
0.7854021191596985,6725,0.21459785103797913,True,0.21459785103797913
0.8419273495674133,6726,0.15807263553142548,True,0.15807263553142548
0.7238894701004028,6727,0.27611055970191956,True,0.27611055970191956
0.6248109936714172,6728,0.375188946723938,True,0.375188946723938
0.8666605949401855,6729,0.13333947956562042,True,0.13333947956562042
0.22893239557743073,6730,0.77106773853302,True,0.77106773853302
0.86883544921875,6731,0.1311645656824112,True,0.1311645656824112
0.8178532123565674,6732,0.18214671313762665,True,0.18214671313762665
0.8079604506492615,6733,0.1920395791530609,True,0.1920395791530609
0.6581116914749146,6734,0.3418882489204407,True,0.3418882489204407
0.69083571434021,6735,0.30916428565979004,True,0.30916428565979004
0.6452831625938416,6736,0.35471686720848083,True,0.35471686720848083
0.7564789056777954,6737,0.2435210645198822,True,0.2435210645198822
0.8572372198104858,6738,0.14276280999183655,True,0.14276280999183655
0.8392131328582764,6739,0.16078688204288483,True,0.16078688204288483
0.8234038949012756,6740,0.17659610509872437,True,0.17659610509872437
