accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5815,0.610466,2.945045,1.0,1,0.7163,0.847375,0.610466,0.759121,2.618974
0.59775,0.62991,2.932775,1.0,2,0.69513,0.855498,0.62991,0.703454,2.817784
0.6155,0.656437,2.829575,1.0,3,0.674724,0.867958,0.656437,0.671209,3.235594
0.6195,0.680755,2.575639,1.0,4,0.645769,0.878844,0.680755,0.637053,3.872069
0.667,0.725006,2.24428,1.0,5,0.611329,0.88676,0.725006,0.602244,5.082735
0.6905,0.763509,2.04375,1.0,6,0.575068,0.888639,0.763509,0.572112,6.155823
0.71775,0.791427,1.873621,1.0,7,0.550043,0.889387,0.791427,0.541508,7.673352
0.7335,0.811576,2.041985,1.0,8,0.529175,0.889436,0.811576,0.520982,8.340197
0.76175,0.83813,2.300637,1.0,9,0.492719,0.889567,0.83813,0.490225,9.484351
0.76725,0.851474,2.276823,1.0,10,0.490278,0.889586,0.851474,0.463656,9.825928
