domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,edge_warrant_gate_std,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_gate_grad_norm,edge_attention_grad_norm,permission_grad_norm,attention_parameter_grad_norm,inference_native_primary,inference_g1_primary,inference_g1_delta,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
rag,hotpotqa,FiD,item_only_gate,metric_path_item_only_gate,7,completed,0.276595,3.040173,0.657123,support_mrr,higher,,,,,0.657123,0.63965,0.666223,0.244754,0.755246,0.244754,0.205844,0.60686,0.251505,,,,0.820609,-1.386581,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.398419,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/item_only_gate/seed_7
rag,hotpotqa,FiD,normalized_gate,metric_path_normalized_query_item_gate,7,completed,0.276567,3.007002,0.659756,support_mrr,higher,,,,,0.659756,0.642135,0.666199,0.256879,0.743121,0.256879,0.256879,0.743121,0.256879,,,,0.997291,1.543629,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,75.115551,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/normalized_gate/seed_7
rag,hotpotqa,FiD,attention_adapter,metric_path_attention_reweighting_control,7,completed,0.277269,3.052827,0.657619,support_mrr,higher,,,,,0.657619,0.640285,0.665866,0.255074,0.744926,0.255074,0.255074,0.744926,0.255074,,,,0.997291,1.646628,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,75.009825,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/attention_adapter/seed_7
rag,hotpotqa,FiD,scalar_gate,metric_path_query_scalar_gate,17,completed,0.282222,3.158764,0.658228,support_mrr,higher,,,,,0.658228,0.640869,0.669476,0.252308,0.747692,0.252308,0.228613,0.679143,0.252308,,,,0.905169,0.929441,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.817921,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/scalar_gate/seed_17
rag,hotpotqa,FiD,item_only_gate,metric_path_item_only_gate,17,completed,0.280589,3.095856,0.659946,support_mrr,higher,,,,,0.659946,0.642257,0.668453,0.241938,0.758062,0.241938,0.194166,0.571205,0.251716,,,,0.772346,-3.467725,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.209662,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/item_only_gate/seed_17
rag,hotpotqa,FiD,normalized_gate,metric_path_normalized_query_item_gate,17,completed,0.281386,3.12604,0.658454,support_mrr,higher,,,,,0.658454,0.640712,0.668519,0.260562,0.739438,0.260562,0.260562,0.739438,0.260562,,,,0.997291,1.625111,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,75.619828,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/normalized_gate/seed_17
rag,hotpotqa,FiD,attention_adapter,metric_path_attention_reweighting_control,17,completed,0.281387,3.117861,0.658486,support_mrr,higher,,,,,0.658486,0.641104,0.668505,0.266062,0.733938,0.266062,0.266062,0.733938,0.266062,,,,0.997291,1.735524,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.762631,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/attention_adapter/seed_17
rag,hotpotqa,FiD,scalar_gate,metric_path_query_scalar_gate,37,completed,0.280729,3.174076,0.659691,support_mrr,higher,,,,,0.659691,0.641443,0.665831,0.263942,0.736058,0.263942,0.239571,0.669686,0.263942,,,,0.906619,0.950214,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.618076,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/scalar_gate/seed_37
rag,hotpotqa,FiD,item_only_gate,metric_path_item_only_gate,37,completed,0.280836,3.180549,0.657754,support_mrr,higher,,,,,0.657754,0.639966,0.664406,0.255877,0.744123,0.255877,0.206844,0.591823,0.258395,,,,0.790047,-2.156235,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.379728,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/item_only_gate/seed_37
rag,hotpotqa,FiD,normalized_gate,metric_path_normalized_query_item_gate,37,completed,0.279706,3.208854,0.659548,support_mrr,higher,,,,,0.659548,0.641481,0.66462,0.251505,0.748495,0.251505,0.251505,0.748495,0.251505,,,,0.997291,1.454611,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,75.429159,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/normalized_gate/seed_37
rag,hotpotqa,FiD,attention_adapter,metric_path_attention_reweighting_control,37,completed,0.279719,3.170437,0.660551,support_mrr,higher,,,,,0.660551,0.643066,0.665754,0.265293,0.734707,0.265293,0.265293,0.734707,0.265293,,,,0.997291,1.653324,,,,,,,,,,,,,,1.0,0.0,retrieved passages -> support passage ranking score,retrieved passage,distractor passages can be relevant to the question while not being supporting evidence,question-conditioned passage weighted term,74.652831,experiments/permission_decomposition/outputs_full_controls/rag/hotpotqa/FiD/attention_adapter/seed_37
