domain,dataset,model,variant,path_role,seed,status,train_loss,eval_loss,primary_metric,metric_name,direction,accuracy,auc,mark_mrr,mrr,support_mrr,support_ap,support_auc,support_attention_mass,distractor_attention_mass,support_attention_ratio,support_warrant_mass,distractor_warrant_mass,support_mass_ratio,joint_nll,mae_time,rmse_location,gate_mean,warrant_logit_mean,edge_warrant_gate_mean,edge_warrant_attention_entropy,edge_warrant_gate_std,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_gate_grad_norm,edge_attention_grad_norm,permission_grad_norm,attention_parameter_grad_norm,inference_native_primary,inference_g1_primary,inference_g1_delta,warrant_tail_mass_mean,warrant_active_blocks,warrant_replacements,metric_path,key_value_item,failure_bottleneck,warrant_path,elapsed_sec,output_dir
tkg,gdelt,xERTE,scalar_gate,metric_path_query_scalar_gate,37,completed,5.265959,6.297577,0.141648,mrr,higher,0.086817,,,0.141648,,,,,,,,,,,,,0.981876,5.113244,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,60.37487,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/scalar_gate/seed_37
mtpp,retweets,THP,attention_adapter,metric_path_attention_reweighting_control,17,completed,195.002886,193.910294,0.756378,mark_mrr,higher,0.535912,,0.756378,,,,,,,,,,,,20621.145629,,0.250927,12.484379,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,69.49419,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/attention_adapter/seed_17
stpp,earthquake,DeepSTPP,item_only_gate,metric_path_item_only_gate,17,completed,3.535364,3.754777,1.14833,rmse_location,lower,,,,,,,,,,,,,,3.754777,0.327729,1.14833,0.950222,3.138471,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,96.69549,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/item_only_gate/seed_17
tkg,gdelt,xERTE,item_only_gate,metric_path_item_only_gate,37,completed,5.266018,6.297471,0.14172,mrr,higher,0.087046,,,0.14172,,,,,,,,,,,,,0.901646,1.851526,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,58.656603,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/item_only_gate/seed_37
mtpp,retweets,THP,scalar_gate,metric_path_query_scalar_gate,37,completed,196.179667,194.104413,0.768892,mark_mrr,higher,0.560819,,0.768892,,,,,,,,,,,,20636.747309,,0.243357,0.890688,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,68.292078,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/scalar_gate/seed_37
tkg,gdelt,xERTE,normalized_gate,metric_path_normalized_query_item_gate,37,completed,5.348528,6.274083,0.143027,mrr,higher,0.088267,,,0.143027,,,,,,,,,,,,,1.0,-2.291602,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,64.986199,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/normalized_gate/seed_37
stpp,earthquake,DeepSTPP,normalized_gate,metric_path_normalized_query_item_gate,17,completed,3.5346,3.757534,1.155143,rmse_location,lower,,,,,,,,,,,,,,3.757534,0.334172,1.155143,0.998291,0.6815,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,98.410957,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/normalized_gate/seed_17
mtpp,retweets,THP,item_only_gate,metric_path_item_only_gate,37,completed,197.40051,194.497297,0.747004,mark_mrr,higher,0.517344,,0.747004,,,,,,,,,,,,20752.12546,,0.083801,5.787663,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,67.260427,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/item_only_gate/seed_37
tkg,gdelt,xERTE,attention_adapter,metric_path_attention_reweighting_control,37,completed,5.343849,6.281397,0.142296,mrr,higher,0.087809,,,0.142296,,,,,,,,,,,,,1.0,1.039055,,,,,,,,,,,,,1.0,2.0,0.0,historical facts -> tail entity ranking score,historical temporal fact,repeated or stale facts can dominate copy/tail scores for the wrong query,query-conditioned historical tail contribution path,59.744073,experiments/permission_decomposition/outputs_full_controls/tkg/gdelt/xERTE/attention_adapter/seed_37
mtpp,retweets,THP,normalized_gate,metric_path_normalized_query_item_gate,37,completed,195.636946,193.966005,0.76388,mark_mrr,higher,0.551128,,0.76388,,,,,,,,,,,,20622.921671,,0.250927,-4.396902,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,66.369095,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/normalized_gate/seed_37
stpp,earthquake,DeepSTPP,attention_adapter,metric_path_attention_reweighting_control,17,completed,3.534754,3.741397,1.138922,rmse_location,lower,,,,,,,,,,,,,,3.741397,0.328334,1.138922,0.998291,-0.181132,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,90.380148,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/attention_adapter/seed_17
mtpp,retweets,THP,attention_adapter,metric_path_attention_reweighting_control,37,completed,196.047498,194.363004,0.761103,mark_mrr,higher,0.54524,,0.761103,,,,,,,,,,,,20663.388627,,0.250927,-20.028079,,,,,,,,,,,,,,1.0,0.0,past marked events -> candidate mark logits,past marked event,the same event history can support one candidate mark while acting as a shortcut for another,candidate-wise event-history weighted term,60.527961,experiments/permission_decomposition/outputs_full_controls/mtpp/retweets/THP/attention_adapter/seed_37
stpp,earthquake,DeepSTPP,scalar_gate,metric_path_query_scalar_gate,37,completed,3.526139,3.577587,1.015311,rmse_location,lower,,,,,,,,,,,,,,3.577587,0.307783,1.015311,0.949173,2.902401,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,78.248084,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/scalar_gate/seed_37
stpp,earthquake,DeepSTPP,item_only_gate,metric_path_item_only_gate,37,completed,3.526568,3.581832,1.022508,rmse_location,lower,,,,,,,,,,,,,,3.581832,0.306001,1.022508,0.969097,3.448855,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,71.028881,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/item_only_gate/seed_37
ctdg,lastfm,DyGFormer,item_only_gate,metric_path_item_only_gate,7,completed,0.210006,0.577988,0.90364,auc,higher,0.82915,0.90364,,,,,,,,,,,,,,,1.0,0.0,0.99554,2.658766,,,,0.0,0.0,,,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,399.015453,experiments/permission_decomposition/outputs_full_controls/ctdg/lastfm/DyGFormer/item_only_gate/seed_7
stpp,earthquake,DeepSTPP,normalized_gate,metric_path_normalized_query_item_gate,37,completed,3.526211,3.57976,1.021322,rmse_location,lower,,,,,,,,,,,,,,3.57976,0.306499,1.021322,0.998291,-3.187962,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,70.068859,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/normalized_gate/seed_37
stpp,earthquake,DeepSTPP,attention_adapter,metric_path_attention_reweighting_control,37,completed,3.526559,3.574417,1.02111,rmse_location,lower,,,,,,,,,,,,,,3.574417,0.305108,1.02111,0.998291,-11.149368,,,,,,,,,,,,,,1.0,0.0,past spatio-temporal events -> next-location dynamics,past spatio-temporal event,nearby or recent events can shift continuous location dynamics in the wrong direction,prediction-state event-history weighted term before the location head,70.306487,experiments/permission_decomposition/outputs_full_controls/stpp/earthquake/DeepSTPP/attention_adapter/seed_37
ctdg,lastfm,DyGFormer,normalized_gate,metric_path_normalized_query_item_gate,7,completed,0.209481,0.573888,0.906968,auc,higher,0.832698,0.906968,,,,,,,,,,,,,,,1.0,0.0,0.101786,2.771735,,,,0.0,0.0,,,,,,,3.0,2.0,source/destination temporal history -> edge score,temporal neighbor/history item,history terms can remain stale or hard-negative aligned while still entering the edge score,edge-level source/destination history weighted term,242.688291,experiments/permission_decomposition/outputs_full_controls/ctdg/lastfm/DyGFormer/normalized_gate/seed_7
