accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_warrant_gate_mean,edge_warrant_gate_std,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.616189,0.666441,0.001669,0.000626,2.713182,1.0,0.0,0.99942,3.2e-05,1,0.643867,0.946985,0.666441,0.695031,7.975711
0.813396,0.87137,0.017227,4.2e-05,2.021399,1.0,0.0,0.999995,0.0,2,0.433353,0.947191,0.87137,0.542389,12.985279
0.823238,0.883642,0.009481,2e-06,2.711866,1.0,0.0,0.999996,0.0,3,0.409062,0.947187,0.883642,0.458195,11.97067
0.825679,0.889851,0.008673,2e-06,2.829418,1.0,0.0,0.999996,0.0,4,0.403545,0.947184,0.889851,0.445809,11.289767
0.828158,0.894475,0.007825,1e-06,2.774939,1.0,0.0,0.999996,0.0,5,0.395511,0.947175,0.894475,0.432706,11.25098
0.827472,0.896219,0.009762,1e-06,2.859343,1.0,0.0,0.999996,0.0,6,0.395078,0.947179,0.896219,0.425613,11.928227
0.827586,0.897272,0.009179,1e-06,2.749072,1.0,0.0,0.999996,0.0,7,0.393481,0.947175,0.897272,0.412341,12.890673
0.830485,0.899896,0.009753,1e-06,2.932168,1.0,0.0,0.999996,1e-06,8,0.390176,0.947111,0.899896,0.397841,12.892883
0.832392,0.900728,0.012045,2e-06,2.771217,1.0,0.0,0.999996,1e-06,9,0.390113,0.947174,0.900728,0.389413,13.892963
0.831401,0.902554,0.01105,2e-06,2.834115,1.0,0.0,0.999996,1e-06,10,0.392036,0.947147,0.902554,0.377274,13.571935
0.826938,0.898242,0.011336,1e-06,2.9171,1.0,0.0,0.999996,1e-06,11,0.402142,0.947122,0.898242,0.366914,12.525597
0.829875,0.899851,0.01136,1e-06,2.831433,1.0,0.0,0.999996,1e-06,12,0.402434,0.947079,0.899851,0.352682,12.481066
0.82854,0.902342,0.011121,1e-06,2.878993,1.0,0.0,0.999996,1e-06,13,0.396411,0.947048,0.902342,0.344038,12.115678
0.828578,0.90189,0.012305,1e-06,2.656471,1.0,0.0,0.999996,1e-06,14,0.410568,0.947117,0.90189,0.334358,12.117257
0.829341,0.900471,0.011386,1e-06,2.690028,1.0,0.0,0.999996,1e-06,15,0.43374,0.947022,0.900471,0.320986,10.962128
0.833651,0.906351,0.013515,1e-06,2.705765,1.0,0.0,0.999996,1e-06,16,0.417285,0.947059,0.906351,0.315526,10.963154
0.83346,0.906468,0.01415,1e-06,2.626474,1.0,0.0,0.999996,1e-06,17,0.438129,0.947057,0.906468,0.30488,11.534532
0.835558,0.906806,0.015837,1e-06,2.668357,1.0,0.0,0.999996,1e-06,18,0.434925,0.947112,0.906806,0.298133,12.771964
0.833499,0.905857,0.01255,1e-06,2.711362,1.0,0.0,0.999996,1e-06,19,0.425718,0.947096,0.905857,0.284056,11.993999
0.834223,0.904819,0.014401,1e-06,2.827929,1.0,0.0,0.999996,1e-06,20,0.42022,0.947122,0.904819,0.277709,12.73701
0.830294,0.903227,0.01658,1e-06,2.721131,1.0,0.0,0.999997,1e-06,21,0.446046,0.947006,0.903227,0.271796,11.73657
0.831286,0.902803,0.014226,1e-06,2.767139,1.0,0.0,0.999997,1e-06,22,0.496605,0.947097,0.902803,0.260506,13.244769
0.835177,0.907993,0.014846,1e-06,2.684139,1.0,0.0,0.999997,1e-06,23,0.483266,0.947108,0.907993,0.251708,12.693945
0.83327,0.904068,0.016253,1e-06,2.620386,1.0,0.0,0.999997,1e-06,24,0.515604,0.947034,0.904068,0.244785,12.448901
0.833041,0.904914,0.017281,1e-06,2.642462,1.0,0.0,0.999997,1e-06,25,0.508723,0.947137,0.904914,0.239921,13.762408
0.831973,0.905091,0.017795,1e-06,2.585031,1.0,0.0,0.999997,1e-06,26,0.494086,0.947158,0.905091,0.229789,14.546401
0.825374,0.902755,0.017889,1e-06,2.650174,1.0,0.0,0.999997,1e-06,27,0.55025,0.947088,0.902755,0.227718,13.990758
0.830943,0.904359,0.017539,1e-06,2.662258,1.0,0.0,0.999997,1e-06,28,0.585166,0.947068,0.904359,0.21848,13.988459
0.830104,0.904253,0.01774,1e-06,2.672416,1.0,0.0,0.999997,1e-06,29,0.574337,0.947145,0.904253,0.211682,15.243548
0.833155,0.905752,0.017696,1e-06,2.637484,1.0,0.0,0.999997,1e-06,30,0.550601,0.94716,0.905752,0.211421,15.644096
