accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.589079,0.622063,1,0.701057,1.0,0.622063,0.734469,0.0
0.596705,0.647244,2,0.675461,1.0,0.647244,0.674806,0.0
0.615314,0.674316,3,0.656991,1.0,0.674316,0.63015,0.0
0.628737,0.688922,4,0.63867,1.0,0.688922,0.596336,0.0
0.651312,0.723013,5,0.607402,1.0,0.723013,0.561824,0.0
0.66687,0.73977,6,0.599323,1.0,0.73977,0.530347,0.0
0.670226,0.7476,7,0.591323,1.0,0.7476,0.503817,0.0
0.68975,0.763832,8,0.589804,1.0,0.763832,0.472516,0.0
0.713545,0.78549,9,0.567682,1.0,0.78549,0.451088,0.0
0.716595,0.798136,10,0.578551,1.0,0.798136,0.414926,0.0
