accuracy,auc,dataset,domain,edge_warrant_attention_entropy,edge_warrant_gate_mean,effective_implementation,elapsed_sec,epoch,eval_loss,gate_mean,model,primary_metric,seed,train_edge_warrant_attention_entropy,train_edge_warrant_gate_mean,train_gate_mean,train_loss,train_warrant_logit_mean,variant,warrant_active_blocks,warrant_logit_mean,warrant_replacements
0.565588773642465,0.6006944069603,lastfm,ctdg,2.843607783317566,0.9540494382381439,DyGFormer,0.76,1,0.7348589301109314,0.8354191184043884,DyGFormer,0.6006944069603,7,2.125850096344948,0.9511447623372078,0.6290599331259727,0.7566850483417511,1.9139482378959656,warrant,4.0,2.5574114322662354,2.0
0.5860280658938377,0.6220537307343389,lastfm,ctdg,2.837268114089966,0.9631800949573517,DyGFormer,1.454,2,0.7038766741752625,0.8382495641708374,DyGFormer,0.6220537307343389,7,2.1245498806238174,0.956915907561779,0.6322544813156128,0.690722718834877,1.948781579732895,warrant,4.0,2.6203097105026245,2.0
0.5976205003050641,0.6504732680867253,lastfm,ctdg,2.802050232887268,0.975948691368103,DyGFormer,2.143,3,0.6788791418075562,0.8451081216335297,DyGFormer,0.6504732680867253,7,2.1073063760995865,0.9676901623606682,0.6357918530702591,0.6652070581912994,2.02751387655735,warrant,4.0,2.792693853378296,2.0
0.6278218425869433,0.6854519619956067,lastfm,ctdg,2.650974154472351,0.9881219565868378,DyGFormer,2.829,4,0.6490710377693176,0.8591568768024445,DyGFormer,0.6854519619956067,7,2.046641692519188,0.9805200770497322,0.6377518698573112,0.6301384717226028,2.187042146921158,warrant,4.0,3.2917083501815796,2.0
0.6525320317266626,0.7152324684950161,lastfm,ctdg,2.4801716804504395,0.995734691619873,DyGFormer,3.516,5,0.6200562715530396,0.8680340349674225,DyGFormer,0.7152324684950161,7,1.9414567798376083,0.9912732094526291,0.6481541693210602,0.5983562916517258,2.5885052382946014,warrant,4.0,3.870178699493408,2.0
0.674496644295302,0.7488944917602922,lastfm,ctdg,2.418187141418457,0.9988306164741516,DyGFormer,4.198,6,0.5911307334899902,0.8721253275871277,DyGFormer,0.7488944917602922,7,1.8172858953475952,0.9971336200833321,0.6589530035853386,0.5705311894416809,3.121546059846878,warrant,4.0,4.378013849258423,2.0
0.7059182428309945,0.7815756195927441,lastfm,ctdg,2.402564764022827,0.9996791183948517,DyGFormer,4.88,7,0.5574213862419128,0.8773351013660431,DyGFormer,0.7815756195927441,7,1.7889914363622665,0.9992120116949081,0.6576864868402481,0.5332323610782623,3.7108626663684845,warrant,4.0,5.944101572036743,2.0
0.7181208053691275,0.7994342448277775,lastfm,ctdg,2.499086022377014,0.99989053606987,DyGFormer,5.56,8,0.5399526953697205,0.8777749240398407,DyGFormer,0.7994342448277775,7,1.8287308514118195,0.999765507876873,0.6607556119561195,0.5083153247833252,4.376416325569153,warrant,4.0,6.578438997268677,2.0
0.7333740085417938,0.8169757076685921,lastfm,ctdg,2.4581984281539917,0.999952644109726,DyGFormer,6.242,9,0.5216243863105774,0.8782003819942474,DyGFormer,0.8169757076685921,7,1.822264388203621,0.9999139532446861,0.6642646864056587,0.48062051087617874,5.2360610365867615,warrant,4.0,7.669285297393799,2.0
0.7434411226357535,0.8231812207104066,lastfm,ctdg,2.5218849182128906,0.9999745190143585,DyGFormer,6.922,10,0.5173174142837524,0.8781571984291077,DyGFormer,0.8231812207104066,7,1.8024108707904816,0.9999599978327751,0.6659901514649391,0.4513736516237259,6.0357553362846375,warrant,4.0,7.798169136047363,2.0
