accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.58175,0.610691,2.945023,1.0,1,0.716017,1.0,0.610691,0.758984,0.0
0.5965,0.629884,2.93283,1.0,2,0.694909,1.0,0.629884,0.702646,0.0
0.616,0.656256,2.830886,1.0,3,0.674504,1.0,0.656256,0.670697,0.0
0.62175,0.680398,2.575982,1.0,4,0.645948,1.0,0.680398,0.636588,0.0
0.66675,0.724567,2.240291,1.0,5,0.611558,1.0,0.724567,0.60227,0.0
0.6905,0.763319,2.028538,1.0,6,0.575319,1.0,0.763319,0.572125,0.0
0.716,0.791521,1.84154,1.0,7,0.549999,1.0,0.791521,0.541526,0.0
0.7315,0.81133,2.000326,1.0,8,0.529458,1.0,0.81133,0.521153,0.0
0.76225,0.838071,2.262873,1.0,9,0.492879,1.0,0.838071,0.490435,0.0
0.766,0.851001,2.265538,1.0,10,0.490603,1.0,0.851001,0.463736,0.0
