accuracy,epoch,eval_loss,gate_mean,mae_time,mark_mrr,primary_metric,train_loss,warrant_logit_mean
0.537451,1,214.015308,0.239196,22961.91985,0.757012,0.757012,215.752292,0.743821
0.54524,2,213.624317,0.238949,22921.91254,0.760801,0.760801,215.996316,0.738549
0.428675,3,212.39584,0.238299,22755.732132,0.700646,0.700646,214.855896,0.725877
0.493524,4,204.040927,0.207046,21616.952922,0.735048,0.735048,207.798582,0.510933
0.419527,5,201.519327,0.222112,21165.478451,0.688676,0.688676,201.407806,2.991234
0.516892,6,197.194871,0.245904,20986.605517,0.746505,0.746505,200.46224,2.394797
0.548048,7,195.07495,0.245929,20838.003222,0.762506,0.762506,198.617671,2.426106
0.50548,8,194.966291,0.246832,20786.151396,0.741222,0.741222,197.823027,2.904276
0.504302,9,194.935918,0.247345,20778.032045,0.740633,0.740633,197.275391,3.235958
0.551128,10,199.510212,0.243859,21253.271115,0.763684,0.763684,199.178618,3.966492
0.505751,11,195.82615,0.156199,20897.885884,0.741267,0.741267,198.951015,5.101241
0.517526,12,194.695098,0.143264,20769.144945,0.747079,0.747079,197.121911,6.46782
0.51508,13,194.282188,0.155473,20726.462915,0.745932,0.745932,197.378784,5.259938
0.556381,14,194.324028,0.149568,20737.290356,0.766507,0.766507,197.382654,4.338878
0.554932,15,194.657083,0.203788,20760.338127,0.765918,0.765918,197.219704,2.871076
0.527036,16,194.39625,0.172421,20736.340184,0.752091,0.752091,197.205448,5.432771
0.54669,17,194.598277,0.175849,20750.535477,0.761842,0.761842,197.241147,5.572865
0.521058,18,194.544706,0.216109,20753.325562,0.749057,0.749057,197.32038,4.52329
0.512816,19,194.439971,0.20343,20756.776084,0.744875,0.744875,196.942621,6.565052
0.526764,20,193.953993,0.205411,20708.494711,0.75194,0.75194,196.642534,8.593405
0.513993,21,194.235364,0.215469,20734.534509,0.7456,0.7456,196.918786,8.945319
0.511729,22,194.574885,0.219876,20766.888093,0.744347,0.744347,196.848954,9.120658
0.557105,23,194.561661,0.204846,20773.784669,0.767171,0.767171,196.648418,9.596002
0.56109,24,194.101358,0.159646,20733.328407,0.769163,0.769163,196.57675,8.03678
0.535459,25,194.389144,0.148055,20740.283394,0.756,0.756,196.813264,8.537934
0.559007,26,194.910042,0.11814,20833.407258,0.767926,0.767926,196.563742,4.740823
0.524409,27,194.602661,0.116607,20739.597596,0.750883,0.750883,196.837598,1.397534
0.54352,28,194.320705,0.088291,20746.430129,0.760287,0.760287,197.33374,2.279916
0.556471,29,195.201429,0.083865,20841.754739,0.767005,0.767005,196.779078,-0.171316
0.552667,30,194.167848,0.08382,20703.30227,0.764363,0.764363,196.144852,-0.670053
