accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_high_fraction,edge_warrant_gate_low_fraction,edge_warrant_gate_mean,edge_warrant_gate_std,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
,,0.000639,0.00034,3.01363,0.394236,0.0,0.977988,0.00055,1,,0.769142,,0.703689,3.55812
,,0.014985,1e-05,1.760642,1.0,0.0,0.999972,8e-06,2,,0.786779,,0.567602,8.991012
,,0.008395,1e-06,1.590285,1.0,0.0,0.999999,1e-06,3,,0.786719,,0.458133,11.271013
,,0.006834,0.0,2.186556,1.0,0.0,0.999999,1e-06,4,,0.786181,,0.440267,11.16213
,,0.007754,1e-06,2.26704,1.0,0.0,0.999999,1e-06,5,,0.786414,,0.431478,10.176895
,,0.00894,1e-06,2.293339,1.0,0.0,0.999999,1e-06,6,,0.786511,,0.421072,9.435256
,,0.01078,1e-06,2.291123,1.0,0.0,0.999999,1e-06,7,,0.786551,,0.413644,9.156306
,,0.009031,1e-06,2.325221,1.0,0.0,0.999999,1e-06,8,,0.786309,,0.398476,9.834302
,,0.010202,1e-06,2.312814,1.0,0.0,0.999999,1e-06,9,,0.786427,,0.386378,10.118621
,,0.009246,0.0,2.28713,1.0,0.0,0.999999,1e-06,10,,0.786521,,0.378599,10.311057
,,0.011127,1e-06,2.255055,1.0,0.0,0.999999,1e-06,11,,0.786948,,0.365506,10.596591
,,0.010235,0.0,2.23196,1.0,0.0,0.999999,1e-06,12,,0.786691,,0.355415,10.079266
,,0.012531,1e-06,2.258161,1.0,0.0,0.999999,1e-06,13,,0.78652,,0.344072,10.233933
,,0.010818,0.0,2.219066,1.0,0.0,0.999999,1e-06,14,,0.785959,,0.332596,9.929362
,,0.011699,0.0,2.208874,1.0,0.0,0.999999,1e-06,15,,0.786542,,0.32271,9.642027
,,0.011995,0.0,2.225905,1.0,0.0,0.999999,1e-06,16,,0.78605,,0.310709,9.383395
,,0.013329,0.0,2.249738,1.0,0.0,0.999999,1e-06,17,,0.786888,,0.306072,9.785506
,,0.012588,0.0,2.236881,1.0,0.0,0.999999,1e-06,18,,0.786939,,0.294691,9.578199
,,0.014298,0.0,2.259964,1.0,0.0,0.999999,1e-06,19,,0.78685,,0.286067,9.515817
,,0.013254,0.0,2.204978,1.0,0.0,0.999999,1e-06,20,,0.786713,,0.277506,9.523548
,,0.014799,0.0,2.222685,1.0,0.0,0.999999,1e-06,21,,0.786763,,0.270629,9.785563
,,0.015175,0.0,2.211317,1.0,0.0,0.999999,1e-06,22,,0.786741,,0.262229,9.329868
,,0.015258,0.0,2.221034,1.0,0.0,0.999999,1e-06,23,,0.786684,,0.256055,9.713413
,,0.016783,0.0,2.192541,1.0,0.0,0.999999,1e-06,24,,0.786255,,0.248664,10.131855
,,0.01716,0.0,2.191386,1.0,0.0,0.999999,1e-06,25,,0.78636,,0.241329,9.891194
,,0.016005,0.0,2.201855,1.0,0.0,0.999999,1e-06,26,,0.786484,,0.232125,10.092285
,,0.018039,0.0,2.219521,1.0,0.0,0.999999,1e-06,27,,0.786159,,0.23036,9.820072
,,0.017973,0.0,2.168494,1.0,0.0,0.999999,1e-06,28,,0.786008,,0.226335,10.210782
,,0.018824,0.0,2.181425,1.0,0.0,0.999999,1e-06,29,,0.785532,,0.216216,9.866987
0.832736,0.9047,0.01895,0.0,2.658931,1.0,0.0,0.999999,0.0,30,0.576043,0.946575,0.9047,0.213128,12.512563
