accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.548139,0.586949,3.470782,0.960379,1,0.714603,0.915821,0.586949,0.748419,3.71058
0.603143,0.64926,2.542804,0.995326,2,0.668209,0.93157,0.64926,0.674754,7.163637
0.68668,0.827337,1.849142,0.99996,3,0.556221,0.932057,0.827337,0.60803,12.482228
0.828883,0.882765,2.092185,0.999996,4,0.412717,0.932058,0.882765,0.519182,12.910856
0.834223,0.890608,2.640949,0.999998,5,0.404632,0.932058,0.890608,0.485815,13.423143
0.838267,0.891611,2.783873,0.999998,6,0.39711,0.932059,0.891611,0.475782,14.266068
0.83819,0.895453,2.659917,0.999998,7,0.388599,0.932047,0.895453,0.463268,11.772
0.838038,0.897467,2.729793,0.999998,8,0.388186,0.932052,0.897467,0.446805,12.140105
0.837351,0.901118,2.566286,0.999998,9,0.381824,0.932031,0.901118,0.436315,11.294167
0.825984,0.895425,2.657845,0.999998,10,0.399138,0.93196,0.895425,0.423259,10.793274
