domain,probe,seeds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_mean,pearson_std,spearman_mean,spearman_std,sign_accuracy_mean,sign_accuracy_std,harmful_auc_mean,harmful_auc_std,parameters
ctdg,counterfactual,3,0.027419326826930046,0.00566931532928761,0.01814945600926876,0.0032211847883094973,-0.2125694260029595,0.2895718419795869,0.2546206811155418,0.11556789096729202,0.24675405054684596,0.10521358756814028,0.6463541666666667,0.04151910720404319,0.6645830241977143,0.07967224298967575,43393
ctdg,local,3,0.02727876293162505,0.0059440485601794536,0.018925036614139874,0.004897435114583791,-0.19131267829395224,0.24547100170791394,0.17487043685897544,0.11273510095887888,0.2071843179632454,0.11775116477454561,0.6257812500000001,0.0551445742776715,0.6446472385558036,0.06838895357039697,86785
ctdg,set_aware,3,0.0286308191716671,0.00648011488198567,0.01943466377755006,0.005217535905076814,-0.3254783515969301,0.3872609225974288,0.15876869542552555,0.15946805128441913,0.11933436583853936,0.13862610674627973,0.6010416666666667,0.04150991837582569,0.6015596732846594,0.05700544627131852,86785
ctdg,shuffled_set,3,0.028020437185962994,0.00636859305704196,0.019983934238553047,0.005019291763939707,-0.25575540936229446,0.27613155950865886,0.16411776191828267,0.145093380657424,0.1304791340672181,0.07211897777161395,0.5817708333333333,0.039529114113906125,0.5955360639879926,0.04529160062504427,86785
rag,counterfactual,3,0.14956678450107574,0.01994235964131444,0.10632288704315822,0.01125579851828095,0.06667956606026319,0.03509748525716521,0.31049109052048635,0.03546747968741071,0.278147394899985,0.05735040698826131,0.5921193555421363,0.03490312984273826,0.607524484709718,0.0472183699775137,37249
rag,local,3,0.15091314911842346,0.019777170549203298,0.10832456250985463,0.012501729771290057,0.04932563829631268,0.03636824672240162,0.28372789382257596,0.011362695715187448,0.2269930008623835,0.0290551832058105,0.5570933138754697,0.02060408375579765,0.566973018836129,0.03208523674637731,74497
rag,set_aware,3,0.14945362508296967,0.01833923410557127,0.10710116724173228,0.012159926128303524,0.06544153102858567,0.05749590251349849,0.3030407965159251,0.042927584596645835,0.25257545675883436,0.031262770662376774,0.568010894726248,0.025646705265829673,0.5912469818883939,0.03187353036282236,74497
rag,shuffled_set,3,0.14972386260827383,0.01962162572161584,0.10631460944811504,0.013029245444358127,0.06410441822689876,0.03972510577928723,0.29169087271323113,0.03535679749293176,0.23740625642193627,0.05462313376962171,0.5659952865002684,0.05780673870917878,0.5791850829380327,0.04639192657393108,74497
