epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,9.958931,0.478209,9.958931,0.445953,2.284928,2.284928,3.68053,1.485364
2,9.917526,0.476989,9.917526,0.590062,2.264195,2.264195,3.536137,1.45858
3,9.782316,0.476835,9.782316,0.394649,2.258582,2.258582,3.509922,1.455277
4,9.536429,0.476857,9.536429,0.280437,2.244318,2.244318,3.476924,1.455748
5,9.42944,0.476628,9.42944,0.518192,2.227051,2.227051,3.460029,1.450895
6,9.584067,0.476748,9.584067,0.338989,2.232564,2.232564,3.446589,1.453442
7,9.556451,0.476643,9.556451,0.326718,2.222455,2.222455,3.432452,1.45122
8,9.38895,0.47657,9.38895,0.3421,2.23298,2.23298,3.419074,1.449667
9,9.361301,0.476742,9.361301,0.253019,2.222205,2.222205,3.405311,1.453321
10,9.481887,0.476756,9.481887,0.270744,2.20515,2.20515,3.390825,1.453662
