accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.085899,0.172141,13.085899,1.092315,0.024942,0.024942,0.052961,0.03635,0.025406,0.016643,0.013533,13.011374,0.0
0.0,2,13.112145,0.172141,13.112145,0.985149,0.024064,0.024064,0.052961,0.035993,0.024602,0.014433,0.012134,12.629845,0.0
0.000569,3,13.341892,0.172141,13.341892,0.7082,0.02265,0.02265,0.052961,0.034604,0.023106,0.014503,0.010696,12.216705,0.0
0.001139,4,13.493101,0.172141,13.493101,0.73359,0.026512,0.026512,0.052961,0.038215,0.026986,0.018044,0.014809,11.821141,0.0
0.001708,5,14.084386,0.172141,14.084386,0.701074,0.027963,0.027963,0.052961,0.039565,0.028393,0.020275,0.01636,11.364699,0.0
0.001708,6,14.835932,0.172141,14.835932,0.726844,0.026718,0.026718,0.052961,0.038271,0.027214,0.01785,0.015165,10.802381,0.0
0.001139,7,15.821127,0.172141,15.821127,0.726994,0.033198,0.033198,0.052961,0.044563,0.033546,0.026986,0.021834,10.163366,0.0
0.0,8,16.682098,0.172141,16.682098,0.687154,0.040543,0.040543,0.052961,0.051632,0.040936,0.033507,0.029454,9.419691,0.0
0.0,9,18.010761,0.172141,18.010761,0.688375,0.044264,0.044264,0.052961,0.05299,0.045003,0.031064,0.035539,8.557673,0.0
0.0,10,19.917238,0.172141,19.917238,0.661878,0.041733,0.041733,0.052961,0.052866,0.042111,0.034958,0.0306,7.59973,0.0
