accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.55,0.571696,2.374725,0.729631,1,0.745239,1.0,0.571696,0.771006,0.0
0.5865,0.620026,2.717534,0.888442,2,0.708304,1.0,0.620026,0.700857,0.0
0.591,0.647177,2.794779,0.957339,3,0.67603,1.0,0.647177,0.667906,0.0
0.62225,0.677952,2.672261,0.974196,4,0.653903,1.0,0.677952,0.635659,0.0
0.64025,0.708781,2.365314,0.985687,5,0.622921,1.0,0.708781,0.602925,0.0
0.676,0.748985,1.974929,0.990506,6,0.586991,1.0,0.748985,0.575781,0.0
0.698,0.78133,1.643881,0.993197,7,0.554064,1.0,0.78133,0.544436,0.0
0.73225,0.811085,1.453154,0.995562,8,0.526908,1.0,0.811085,0.5159,0.0
0.75875,0.840143,1.37621,0.996718,9,0.497704,1.0,0.840143,0.493193,0.0
0.7625,0.847991,1.418802,0.997198,10,0.481403,1.0,0.847991,0.473427,0.0
