accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.582926,0.623995,0.0,0.0,1,0.670601,0.947094,0.623995,0.703411,8.728112
0.612984,0.675158,0.0,0.0,2,0.639678,0.947185,0.675158,0.613622,12.625348
0.657766,0.728887,0.0,0.0,3,0.604992,0.947182,0.728887,0.567328,13.546454
0.676648,0.75068,0.0,0.0,4,0.584799,0.947172,0.75068,0.53166,14.44526
0.699344,0.777397,0.0,0.0,5,0.569527,0.947133,0.777397,0.501589,13.376735
0.708537,0.789147,0.0,0.0,6,0.560114,0.947153,0.789147,0.471848,14.568308
0.723375,0.802963,0.0,0.0,7,0.542782,0.947166,0.802963,0.448864,14.807352
0.728792,0.809711,0.0,0.0,8,0.546169,0.947094,0.809711,0.426799,13.243355
0.73272,0.812984,0.0,0.0,9,0.543338,0.947073,0.812984,0.408659,12.996773
0.737832,0.822482,0.0,0.0,10,0.563041,0.947077,0.822482,0.390308,12.635009
0.743744,0.826994,0.0,0.0,11,0.535485,0.947004,0.826994,0.375765,12.367033
0.741532,0.825258,0.0,0.0,12,0.54511,0.947026,0.825258,0.362581,12.116272
0.748169,0.834334,0.0,0.0,13,0.546373,0.946962,0.834334,0.351678,12.282084
0.750801,0.83451,0.0,0.0,14,0.566849,0.946993,0.83451,0.337553,12.127701
0.753013,0.837208,0.0,0.0,15,0.588733,0.946543,0.837208,0.323787,10.902381
0.75515,0.838651,0.0,0.0,16,0.56563,0.946946,0.838651,0.315551,12.93944
0.758735,0.844652,0.0,0.0,17,0.556831,0.946445,0.844652,0.304632,12.589285
0.755645,0.844752,0.0,0.0,18,0.590182,0.946749,0.844752,0.298288,12.873107
0.753814,0.843282,0.0,0.0,19,0.58661,0.946625,0.843282,0.288215,11.401695
0.757209,0.843176,0.0,0.0,20,0.588037,0.946716,0.843176,0.280046,12.713309
0.759879,0.84763,0.0,0.0,21,0.590449,0.945755,0.84763,0.271543,10.930845
0.755798,0.845098,0.0,0.0,22,0.638643,0.945699,0.845098,0.262882,11.44272
0.756294,0.848404,0.0,0.0,23,0.638845,0.94644,0.848404,0.256367,11.688192
0.759803,0.848229,0.0,0.0,24,0.655489,0.945311,0.848229,0.249843,11.08702
0.755912,0.850347,0.0,0.0,25,0.652052,0.946061,0.850347,0.243961,11.186919
0.752899,0.85043,0.0,0.0,26,0.692911,0.94489,0.85043,0.236476,10.196333
0.760757,0.851976,0.0,0.0,27,0.668395,0.946369,0.851976,0.229185,11.793835
0.74939,0.847821,0.0,0.0,28,0.745314,0.946228,0.847821,0.2231,11.917869
0.758277,0.853217,0.0,0.0,29,0.716567,0.94432,0.853217,0.219651,10.480906
0.759956,0.852276,0.0,0.0,30,0.715024,0.945601,0.852276,0.216916,12.15264
